"ID" "ra" "dec" "zspec" "Vel"
"14435" 173 -0.276667163892204 -0.139444185901511 0.0392192385989738 -1888.00993010433
"14437" 173 -0.361114024925649 -0.00123969505862064 0.0392238351800271 -1886.69226590003
"14422" 173 -0.168627503743209 0.19116037305053 0.039401333158255 -1835.81037574481
"14426" 173 -0.139495228670417 0.335815324295396 0.0394818271086176 -1812.73583494495
"14413" 173 -0.126202007132008 -0.152291252955082 0.0394827397959115 -1812.4742023613
"14455" 173 -0.199861333351763 -0.111161751427958 0.0394940041375033 -1809.24514591082
"14496" 173 -0.594431771984544 0.140655501369703 0.0395758429867345 -1785.78507397882
"14476" 173 -0.549923790676925 -0.11332947768144 0.0396314536773754 -1769.8436132315
"14492" 173 -0.622339088051835 -0.343560446585066 0.0397608258826759 -1732.75754382968
"14439" 173 -0.383652305392547 -0.612117566496863 0.0398025577579254 -1720.79460930153
"14491" 173 -0.211611313579132 -0.147169943345609 0.0398985203658632 -1693.28579525842
"14425" 173 -0.0635223764191169 0.107225549591418 0.0399131373123738 -1689.09567504307
"14486" 173 -0.0499705418298545 0.146394215059417 0.0401240327102633 -1628.64002041085
"14477" 173 -0.0749795051242915 0.110465135383893 0.0402937343133752 -1579.9930531895
"14479" 173 -0.157763144233153 0.184648715051375 0.0402972170817442 -1578.99467653557
"14443" 173 -0.242833718068362 0.0616969024698199 0.0403157998647568 -1573.66770248512
"14460" 173 -0.261850621646962 -0.195701938670843 0.040353548865996 -1562.84650579488
"14469" 173 -0.143378288248278 0.158179555703659 0.0406202579930305 -1486.39118703206
"14420" 173 -0.0980342309243954 0.329694398143589 0.0406557081388883 -1476.22898436625
"14487" 173 -0.225606475352726 -0.542535298056772 0.0407066862220059 -1461.61551523601
"14458" 173 -0.266449841143539 -0.0775214700159912 0.0409422117786867 -1394.09933491987
"14471" 173 -0.0624366976077054 0.0299989290838847 0.0410070651819538 -1375.50834152277
"14498" 173 -0.421704563195163 0.344180449826826 0.0411984194714648 -1320.65437621659
"14427" 173 -0.355305117817681 0.093781246218555 0.0413227134363187 -1285.02404436831
"14501" 173 -0.26396376239214 -0.223019384206507 0.0413415029983922 -1279.63779465981
"14450" 173 -0.320350519476113 0.333259025661003 0.0413828560770613 -1267.78344664173
"14462" 173 -0.175475061223949 -0.418400321260942 0.0413956565464492 -1264.11404103027
"14466" 173 -0.0591204362365385 -0.186239085221247 0.0415107791734005 -1231.11278142495
"14453" 173 -0.0177650814045791 0.175176815863171 0.0415692937578847 -1214.33888523792
"14433" 173 -0.147755469262109 0.597279492596565 0.042293251257825 -1006.80792428392
"14494" 173 -0.0228467685326695 -0.0615569968542196 0.0423513453459495 -990.154568340775
"14493" 173 -0.0276166981586328 0.060737637501931 0.0427040447225836 -889.049129738649
"14438" 173 -0.133176914891819 -0.0450061320409484 0.0429267144578392 -825.21822234869
"14490" 173 -0.142758076214567 -0.0897014060965449 0.04304499106772 -791.312836315718
"14429" 173 -0.212205310127801 -0.478680056759469 0.0430939696997218 -777.272533443798
"14489" 173 -0.0510019982990958 0.217022584860891 0.0433696955675024 -698.232459537404
"14423" 173 -0.191075397358675 0.395929624174543 0.0435489578213237 -646.844818962674
"14430" 173 -0.0176245713329562 -0.0330591081721912 0.0435975388831127 -632.918484284074
"14481" 173 -0.0605737617372537 0.126281794081827 0.0437434879160972 -591.080471599523
"14434" 173 -0.175748299206714 0.40257065999623 0.0439631616825186 -528.108394032042
"14441" 173 -0.00996669484854401 0.0383376890768661 0.0439770891299041 -524.115926877828
"14463" 173 -0.0808502078428218 -0.378418087155909 0.0442790000643729 -437.569594588987
