"Vel" "DistA" "Flag" "r" "Vx" "Vy" "dist"
"84" 1.967984071914e-16 0.000682640278379134 -1 17.5028 0.338433872530578 0.0798900604778508 0.204047824245342
"247" 2.177151466908e-16 0.00568197172910531 1 13.7158 -0.150335011917167 -0.033578318091843 0.297733580352156
"281" 2.205453198648e-16 0.00891588638175228 1 16.5688 -0.29940842066837 -0.0848911049125671 0.454771317452391
"133" 2.037223336614e-16 0.0110707044119711 -1 14.6461 -0.343356397257478 -0.0754843576626056 0.495247766408981
"279" 2.203767344892e-16 0.0150148202876207 1 13.6979 -0.281296919663688 -0.0866084810479022 0.437754215116337
"29" 1.817145207594e-16 0.0191975828096191 -1 17.2696 -0.204357462526054 -0.0719597093545247 0.359785545897972
"360" 2.33374887321e-16 0.0373040079666473 1 15.2425 -0.14341658208506 5.84828275263168e-05 0.285305058313973
"396" 2.4218510979e-16 0.0376021038440827 1 17.3444 0.10514708645513 -0.0146264263507346 0.058217193730016
"389" 2.39768136066e-16 0.0395495866316222 1 15.6794 -0.170641974852598 -0.00435187702559886 0.312855592871055
"387" 2.384903289198e-16 0.0399825260817119 1 13.649 -0.289263141213552 -0.0330128258658623 0.434249392665349
"212" 2.13046122537e-16 0.0418845116937392 -1 13.2924 -0.077834289739129 0.0207725916575272 0.218222517150031
"371" 2.347417835094e-16 0.0461593296273638 1 14.6073 -0.174286924113915 0.00143014119617623 0.315865626405483
"148" 2.06056408233e-16 0.05519089697299 -1 17.308 -0.290562110122487 -0.129460918244417 0.459911728459788
"99" 1.990371704232e-16 0.0558911027499024 -1 15.0928 0.00803711287800522 0.0559844721680178 0.134238881153115
"34" 1.830751946502e-16 0.0569954603253667 -1 14.1824 -0.260799467022781 -0.12398271557812 0.43015220675832
"26" 1.806142435416e-16 0.05914705137319 -1 15.6907 -0.267961477352574 -0.00843040921212304 0.41005530662466
"37" 1.837154755548e-16 0.0777893631495598 -1 16.8564 -0.169194024156663 -0.122514321054606 0.345712422040993
"141" 2.049288112398e-16 0.0803336443374099 -1 13.6913 -0.275370295925471 -0.151129615591812 0.454013369375014
"379" 2.362699409106e-16 0.0863165214253918 1 16.1851 -0.0447819010431883 -0.100608353931792 0.22748258556111
"142" 2.051361563442e-16 0.0900082330988728 -1 14.0746 -0.195008393159172 -0.141188296784722 0.377185497154557
"135" 2.04087148266e-16 0.0925297215994086 -1 16.1952 -0.298791484905056 -0.16919351323654 0.482781755740065
"120" 2.020492161708e-16 0.104898831933571 -1 11.9672 -0.275419697254626 -0.175953681449896 0.464622324386582
"370" 2.346806623986e-16 0.106208800179675 1 17.5785 -0.0542131912241547 0.0915373725452098 0.203253532182842
"335" 2.276917258818e-16 0.115565289505372 1 15.7812 -0.296189268186609 -0.191822141908071 0.490321394849963
"110" 2.007048758112e-16 0.123527270718997 -1 16.9009 -0.231283149220912 -0.183942376595446 0.42956687717363
"10" 1.723413748044e-16 0.12437314312648 -1 15.1461 0.175364889727175 -0.0850443874903279 0.122171978868788
"205" 2.124235362912e-16 0.1370818611524 -1 17.7395 0.478597748641025 0.253421169360382 0.40452181606345
"287" 2.218504143786e-16 0.137806536116055 1 17.4933 0.128799903375274 -0.110035294071268 0.142412743486295
"6" 1.640291954058e-16 0.144542092455085 -1 12.897 -0.00380149667886719 -0.149366153143704 0.231465150704099
"68" 1.93065579564e-16 0.155418095899388 -1 15.092 0.00972591940776215 -0.157033078993338 0.229574650156415
"391" 2.40180849399e-16 0.157214126848481 1 16.4681 0.347389697365479 -0.0760169025765721 0.233709133843959
"184" 2.09574923079e-16 0.161419446441657 -1 14.7547 -0.2922685080073 0.0889067130169295 0.436109605386971
"12" 1.727856857424e-16 0.165531729733502 -1 16.4482 -0.0665506124680637 -0.185959237698802 0.3003008618105
"63" 1.917160863642e-16 0.167001561607468 -1 16.7496 -0.294580054754201 0.0939778696428814 0.439089324895757
"253" 2.18130096162e-16 0.176652844848832 1 14.1542 -0.211963609772187 0.123992238937995 0.363904681509234
