"Vel" "DistA" "Flag" "Vx" "Vy" "dist"
"4" -2.08317131268938e-17 0.00186168063315939 -1 -0.052503811725068 -0.0903892838127293 0.123370114740799
"9" -1.46795687418231e-17 0.00441351945774708 -1 -0.058109060484776 -0.099964876731514 0.136766319776338
"11" -1.01204012610692e-17 0.0220244291240567 -1 0 0.0371291670698562 0.0614531993884544
"20" 9.03620230770568e-18 0.053258596785822 1 0.0333300592684329 0.100022722268119 0.148605899921638
"17" 6.70366326039382e-18 0.101714951891392 1 0.0197236817741211 0.0143951825137126 0.0324397805675436
"24" 2.16740953454509e-17 0.104005965365996 1 0.0799047704999853 0.180952993052472 0.262527155139788
"6" -1.91630647446442e-17 0.116872398353764 -1 -0.0684049603714385 -0.0186902943094115 0.0279538306224582
"18" 7.50056383767386e-18 0.124655747710575 1 0.0226846318518868 0.000229824445655179 0.0200081192179292
"13" -1.33979931097645e-18 0.126732152543477 1 -0.0104296155852545 0.153582312022141 0.223938254755178
"21" 1.1211217220967e-17 0.205980898486953 1 0.121117655575896 0.196666454402848 0.284695587045981
"8" -1.70579341470675e-17 0.252500973953562 -1 -0.184683632545773 -0.21199192400214 0.294483524386779
"16" 5.36365121609995e-18 0.276183861031988 1 0.0293521465454746 -0.129490349445268 0.178211033539361
"23" 1.86452110188893e-17 0.306530738651316 1 0.0843669485285579 -0.00490418572407086 0.0190309952036971
"7" -1.82714983072891e-17 0.320352112789922 -1 -0.194368032502127 -0.172695454205766 0.239052675329515
"14" 4.58426505515648e-19 0.324762414452856 1 0.0182576971725549 -0.208191878513737 0.289120859131682
"12" -6.72301348476346e-18 0.343728703608025 -1 -0.0177886526379007 0.345489209558438 0.494892758811593
"15" 3.9543790228807e-18 0.482841667741344 1 0.047756059353201 -0.280290682688975 0.390920909308938
"3" -2.12942248611515e-17 0.491298841726675 -1 -0.158850168361256 0.0943709809721922 0.140682473161397
"19" 8.48775238073462e-18 0.515879742136155 1 0.159222291755528 -2.07514758061501e-09 0.0199088669821889
"10" -1.16148611350332e-17 0.611028215981172 -1 -0.199205047606294 0.0984546247755404 0.146406758888154
"25" 2.50112656151554e-17 0.788489763035927 1 0.245477502835373 -0.0250845478194151 0.0351275343224001
"2" -2.22206486386761e-17 1.23337447130643 -1 -0.356577048250313 0.266630627785241 0.383476057171325
