"Vel" "DistA" "Flag" "r" "Vx" "Vy" "dist"
"1" 7.656090293238e-16 0.00378302632579303 -1 17.2662 0.180484581423297 0.008266643944774 0.233393381926259
"97" 8.29191804204e-16 0.00387842229974612 1 17.4738 0.174599241874261 0.0218172249831069 0.226688692039895
"5" 7.742440876338e-16 0.00885683395836188 -1 15.4161 -0.279913898077679 0.0585492799623015 0.229828149040768
"35" 8.030923769208e-16 0.0153026554047472 1 17.4481 -0.239105855693106 0.0144404190020725 0.187715751549319
"20" 7.95054237879e-16 0.0158595674661082 1 16.2672 0.236892340212671 -0.0160132405418723 0.292376300521818
"110" 8.409803359008e-16 0.017353781230744 1 17.2588 -0.457519284401391 0.0841784267250493 0.409261585951104
"86" 8.22280030659e-16 0.0495016933125907 1 17.6033 -0.327271128002371 -0.038955400417648 0.283607933900881
"69" 8.142364795146e-16 0.0525279867319557 1 16.8872 0.297257736185605 0.0979460571676687 0.355933188195145
"82" 8.198346028866e-16 0.0532889256411773 1 16.6535 -0.447119467450873 -0.0380471071472263 0.400827827421955
"106" 8.34531799449e-16 0.0642270606115398 1 17.6059 0.132216218497924 0.128307772302524 0.209166213829613
"76" 8.17896227553e-16 0.0684132766871704 1 17.0924 -0.1396039145731 0.152355850970438 0.151167643447427
"7" 7.800547089504e-16 0.0797032423162969 -1 16.911 -0.386796590201009 -0.0872459204192628 0.354491645166864
"70" 8.148975986346e-16 0.0866473178988891 1 16.4727 -0.344766179609378 -0.10180157679471 0.320758927204602
"8" 7.803609302526e-16 0.116023053031115 -1 17.4609 0.245633036230103 0.210424489725939 0.348448655294919
"73" 8.166628515006e-16 0.1471782022646 1 16.9479 -0.123280237031113 -0.219703874634996 0.258899813143705
"51" 8.08170808812e-16 0.150834927436352 1 16.1968 0.0456667200157692 0.2827290855324 0.271697005741206
"11" 7.826070824628e-16 0.153582541582499 -1 17.5734 -0.0525746529508002 -0.235107460488565 0.264289662678148
"31" 8.018322644334e-16 0.158495368501551 1 15.542 0.189698805425048 0.286988316205589 0.353366755358077
"36" 8.03247901953e-16 0.172141785183482 1 17.6272 -0.291115033035781 -0.252268107768576 0.369329568551454
"103" 8.318388409002e-16 0.187043432896317 1 17.0305 0.179130554982892 -0.307053615382761 0.407996854537532
"105" 8.322184982772e-16 0.203755233008889 1 17.0178 0.00110613444622404 0.376569877587139 0.351419596261857
"21" 7.951720078242e-16 0.242133132770432 1 17.3012 -0.267606177743804 -0.374184906177882 0.457387705853628
