"clusterID" "ra" "dec" "r" "zspec" "Vel" "Flag"
"5565" 15 195.70608 -2.514417 17.2662 0.078802 23624.221 0
"5592" 15 195.8493 -2.465221 15.7452 0.079316 23778.324 0
"5627" 15 195.45513 -2.596192 16.6258 0.079596 23862.397 0
"5635" 15 195.62106 -2.816551 17.4894 0.07969 23890.452 0
"5588" 15 195.58953 -2.501699 15.4161 0.079691 23890.671 0
"5641" 15 195.39677 -2.605229 17.1779 0.079996 23982.084 0
"5601" 15 195.56247 -2.53857 16.911 0.080289 24069.968 0
"5570" 15 195.72257 -2.463289 17.4609 0.08032 24079.417 0
"5624" 15 195.45234 -2.56846 16.4811 0.080438 24114.652 0
"5629" 15 195.44638 -2.586988 15.6529 0.080473 24125.18 0
"5577" 15 195.64708 -2.575969 17.5734 0.080551 24148.726 0
"5626" 15 195.50892 -2.34082 17.6062 0.081004 24284.439 0
"5636" 15 195.52069 -2.764349 16.789 0.081007 24285.204 0
"5622" 15 195.58323 -2.698366 17.3992 0.081212 24346.766 0
"5623" 15 195.49793 -2.423465 15.7714 0.081347 24387.157 0
"5637" 15 195.91972 -2.763821 17.1257 0.081495 24431.46 0
"5638" 15 195.63542 -2.824576 17.1501 0.0816 24463.092 0
"5609" 15 195.73369 -2.338228 17.5514 0.081692 24490.768 0
"5652" 15 195.34064 -2.619525 17.5859 0.081789 24519.707 0
"5564" 15 195.72036 -2.520557 16.2672 0.081833 24532.805 0
"5600" 15 195.59264 -2.611141 17.3012 0.081845 24536.439 0
"5599" 15 195.79735 -2.383832 16.9693 0.081896 24551.803 0
"5597" 15 195.87092 -2.5186 16.9657 0.081986 24578.695 0
"5634" 15 195.68248 -2.822749 16.8504 0.082108 24615.23 0
"5630" 15 195.49828 -2.697291 16.5103 0.082139 24624.56 0
"5631" 15 195.94629 -2.689553 16.2907 0.082167 24632.918 0
"5615" 15 195.60201 -2.665111 17.0089 0.082239 24654.779 0
"5617" 15 195.67857 -2.708655 16.4973 0.082331 24682.219 0
"5590" 15 195.69607 -2.384438 16.6523 0.082333 24682.729 0
"5668" 15 195.1919 -2.468804 16.396 0.082445 24716.317 0
"5573" 15 195.70841 -2.443926 15.542 0.08253 24741.953 0
"5664" 15 195.99954 -2.915437 16.8848 0.082596 24761.625 0
"5669" 15 195.30889 -2.857413 16.5282 0.082617 24767.957 0
"5616" 15 195.89382 -2.597636 17.6371 0.082651 24778.137 0
"5585" 15 195.59986 -2.512855 17.4481 0.08266 24780.836 0
"5594" 15 195.58669 -2.580307 17.6272 0.082676 24785.635 0
"5618" 15 195.78414 -2.708027 16.9522 0.082686 24788.495 0
"5589" 15 195.69313 -2.64703 16.2191 0.082756 24809.487 0
"5672" 15 195.2627 -2.823409 16.468 0.082762 24811.286 0
"5583" 15 195.72961 -2.411628 16.9256 0.082789 24819.473 0
"5657" 15 195.89619 -2.904741 15.3054 0.082792 24820.297 0
"5663" 15 195.53618 -2.942575 16.7857 0.082803 24823.667 0
"5644" 15 196.06562 -2.587427 17.5016 0.082835 24833.227 0
"5683" 15 195.11993 -2.401185 17.0812 0.082842 24835.491 0
"5688" 15 195.95726 -1.936978 17.4548 0.082846 24836.585 0
"5646" 15 195.41697 -2.729032 17.3506 0.082849 24837.517 0
"5662" 15 195.71502 -2.979802 17.6303 0.082921 24859.18 0
"5658" 15 195.36314 -2.770407 15.868 0.082962 24871.292 0
"5647" 15 195.42607 -2.741747 17.3447 0.08305 24897.803 0
"5645" 15 195.422 -2.727531 17.6126 0.08311 24915.616 0
"5575" 15 195.67195 -2.445004 16.1968 0.083183 24937.54 0
"5681" 15 195.20208 -2.834051 17.5473 0.083207 24944.696 0
"5698" 15 196.36738 -2.642968 16.4102 0.08326 24960.855 0
"5621" 15 195.51052 -2.602219 16.8985 0.083317 24977.862 0
"5642" 15 195.86379 -2.820012 16.6411 0.083318 24978.123 0
"5675" 15 196.28308 -2.394894 16.4421 0.083329 24981.445 0
"5708" 15 195.14738 -2.151919 16.0138 0.08336 24990.786 0
"5611" 15 195.7473 -2.337461 16.4618 0.08345 25017.711 0
"5700" 15 195.10746 -2.252514 17.624 0.083461 25021.122 0
