"Vel" "DistA" "Flag" "Vx" "Vy" "dist"
"58" 8.74559565728e-16 0.00413001864871238 -1 0.0616786423631948 0.0193829616130924 0.136100144674422
"69" 8.88132846328e-16 0.0388323347696127 1 0.0564585548939596 0.0290962857065971 0.141481701135752
"146" 9.48924323664e-16 0.228334808017417 1 0.00699151589941956 0.270070032327906 0.421775632525165
"115" 9.26296507128e-16 0.292910383275413 1 0.109396366250756 -0.0909751616954176 0.167489928604558
"45" 8.57884774712e-16 0.361607809162656 -1 0 0.190317392516531 0.31611376498069
"171" 9.77552513808e-16 0.503362533333914 1 0.152583318300322 -0.253253557671559 0.361319731039137
"80" 8.95020777832e-16 0.579536336649818 1 -0.0357882449746706 0.278270918422224 0.432844689138444
"90" 9.04735011016e-16 0.703755646935092 1 0.169661667662229 -0.192201213739964 0.282187160125781
"104" 9.1700834192e-16 0.769715117503285 1 -0.0480819333450165 0.185237462391558 0.309553908268665
"78" 8.94413549136e-16 1.01329971708534 1 -0.0411987306076353 -0.136807674564527 0.215238975566654
"172" 9.7972884064e-16 1.10111206723268 1 -0.0823012456728164 0.137854365073748 0.250025071345566
"163" 9.68054474392e-16 1.18655568106115 1 0.227440184743343 -0.194229447970098 0.284748779424102
"105" 9.20105768928e-16 1.48204905443077 1 -0.147484934729963 0.31514176500673 0.482917431466352
"144" 9.47857549528e-16 1.75676453755217 1 -0.134250993204522 -0.0971133917587363 0.173242854023026
"120" 9.28964430912e-16 2.18571138463937 1 0.347620362915276 -0.203872758179879 0.297004813927808
"55" 8.7360608996e-16 2.25660998780079 -1 -0.2055762804038 0.00815346548618814 0.131402465511738
"64" 8.83886523312e-16 2.33223165127659 1 -0.218302050914911 0.0414275435815458 0.149857211319987
"65" 8.84066452528e-16 2.36420105939129 1 -0.227462760118304 0.0893920364031515 0.194248599498475
"147" 9.49097252752e-16 2.40105486292821 1 -0.233315373221253 0.102476968000593 0.208560193205808
"140" 9.4483206828e-16 2.64763678986459 1 -0.213293859403888 -0.34056548395737 0.478836878648073
"86" 9.00347583568e-16 3.21932844907918 1 -0.353849156303708 0.308609462165019 0.474013643559152
"76" 8.93726856024e-16 3.25259546441874 1 -0.312646635697275 -0.096353511588586 0.172517387761529
"85" 9.00119949776e-16 3.50205582999427 1 0.463686104290495 0.162370076571608 0.280403742106122
"109" 9.21762206624e-16 3.54416059729673 1 -0.373775139729996 0.140093112798586 0.252753394908283
"112" 9.22752433064e-16 3.64073515721263 1 -0.369262136516136 -0.00358368804601508 0.128422284194909
"63" 8.7857942164e-16 3.65206231297722 -1 -0.402884410275684 0.285756917774191 0.442972456785081
"158" 9.60340236112e-16 3.90158425453586 1 0.52938181184269 0.000361795241156296 0.129194005870883
"59" 8.75109108184e-16 4.1186265064407 -1 0.527989433385187 0.24481065727189 0.387876269314748
"100" 9.10925716808e-16 4.53286694988871 1 -0.456260632832616 -0.177054281821836 0.263257016210269
"60" 8.7646317924e-16 4.85398590171959 -1 -0.542976517841218 0.257214806334635 0.404484063018545
"145" 9.48155800352e-16 5.8243308513345 1 -0.626177132810835 -0.033897171584292 0.130544402361323
"91" 9.05861253832e-16 7.29253396597188 1 -0.784166271795153 -0.186568093245452 0.275104401487679
"156" 9.57664534408e-16 7.72350812308945 1 1.01976701109429 -0.311570719377455 0.439449123027646
"57" 8.74527514216e-16 8.47413351386965 -1 -0.938365552776342 -0.0669083476929235 0.147719832026692
"71" 8.89535399752e-16 9.34894936820957 1 -1.06668182723291 0.1485695829102 0.263172376164159
"66" 8.84463936648e-16 9.57655835352748 1 -1.07062117775965 -0.059369960419161 0.142638371606303
"74" 8.91365058208e-16 11.0068153063582 1 -1.24477651039546 -0.0265447568274619 0.12872804396345
"108" 9.2156749936e-16 11.8519288966826 1 -1.3333901253994 -0.135283719181549 0.213506713251494
"110" 9.22215626952e-16 13.6311213453197 1 1.6618513643833 0.245503899504578 0.38880227950183
"49" 8.68898439064e-16 13.9767981908656 -1 -1.62627981033525 0.219704572364468 0.354537500947709
"128" 9.35506957952e-16 14.6834994795267 1 -1.65742113840035 -0.256383569165315 0.365464637954466
"95" 9.07301789432e-16 15.1869011691793 1 -1.72228440136294 -0.212853911065405 0.308523596219133
"83" 8.98279045744e-16 16.2030762630269 1 -1.85470021774881 -0.111699352647133 0.187817991654845
"93" 9.071639258e-16 18.9497282346309 1 2.29594806212494 0.244689148109504 0.387713988911725
"79" 8.94848918208e-16 19.8897362142847 1 -2.32148796324021 0.133230067962584 0.244422944356527
