"clusterID" "ra" "dec" "r" "zspec" "Vel" "Flag"
"4833" 12 255.71052 33.820484 16.7507 0.098287 29465.737 0
"4850" 12 255.23465 33.971941 17.2054 0.098299 29469.191 0
"4843" 12 255.73884 33.757615 17.4776 0.09835 29484.621 0
"4863" 12 255.70538 34.458716 17.3731 0.098427 29507.618 0
"4842" 12 255.74946 33.761607 17.3763 0.09853 29538.446 0
"4827" 12 255.7977 33.893294 17.7383 0.098658 29577.035 0
"4794" 12 255.56921 33.980566 16.2429 0.098672 29581.013 0
"4791" 12 255.76229 34.12065 17.0791 0.098743 29602.269 0
"4818" 12 255.78517 33.927752 17.1713 0.098883 29644.501 0
"4847" 12 256.01115 33.929145 17.3635 0.09918 29733.497 0
"4757" 12 255.67708 34.060026 14.1516 0.099298 29768.702 0
"4754" 12 255.65077 34.088491 16.8958 0.099617 29864.278 0
"4940" 12 255.55927 33.508469 16.9423 0.099713 29893.151 0
"4887" 12 256.13309 34.319029 16.9893 0.099751 29904.651 0
"4835" 12 255.33735 33.989277 16.4976 0.099767 29909.382 0
"4768" 12 255.59093 34.050093 16.9601 0.099787 29915.39 0
"4865" 12 256.1295 34.072452 15.7808 0.099834 29929.381 0
"4895" 12 255.7662 33.588767 16.7268 0.099882 29943.903 0
"4774" 12 255.59216 34.018605 16.9155 0.099889 29945.945 0
"4816" 12 255.75574 33.91741 16.365 0.09999 29976.269 0
"4845" 12 255.8506 33.790027 16.2516 0.100141 30021.487 0
"4789" 12 255.71872 33.999487 16.8614 0.100254 30055.303 0
"4860" 12 255.425 34.406761 17.4393 0.100278 30062.438 0
"4932" 12 256.25453 33.832257 16.5512 0.100279 30062.948 0
"4903" 12 256.16914 34.348017 16.157 0.100369 30089.779 0
"4755" 12 255.61141 34.095635 17.385 0.100489 30125.754 0
"4807" 12 255.78167 33.974713 17.7583 0.100528 30137.626 0
"4872" 12 255.8148 34.476343 17.1534 0.100582 30153.575 0
"4910" 12 255.07804 34.330563 18.404 0.100626 30166.826 0
"4871" 12 255.25155 34.345225 16.9963 0.100644 30172.342 0
"4760" 12 255.67821 34.098169 17.4272 0.100703 30189.88 0
"4849" 12 255.74858 34.417592 17.2897 0.100715 30193.747 0
"4915" 12 256.14591 34.41421 16.9495 0.101081 30303.441 0
"4780" 12 255.66081 34.156515 17.1003 0.10117 30330.033 0
"4848" 12 255.25184 33.962463 17.6343 0.101202 30339.506 0
"4817" 12 255.74131 33.90809 20.8999 0.101203 30339.806 0
