"Vel" "DistA" "Flag" "Vx" "Vy" "dist"
"51" 3.96371809124927e-17 0.00218768979584607 1 0.168477647731375 -0.0301554722236311 0.0607213080034224
"2" -4.65604831006861e-17 0.0113926150721741 -1 -0.364962856930351 0.0636078856554658 0.0796619497807609
"38" 1.01923582466154e-17 0.0156943357475653 -1 0.0375712510238438 0.00715608689382314 0.0230770935654748
"39" 1.50352924860491e-17 0.0181924177288474 -1 0.101332123046316 -8.28039626097531e-11 0.0265702266950459
"59" 4.51656348151928e-17 0.0224672609866568 1 0.319729456775707 -0.0728907962445334 0.118919368560901
"28" -1.23745217350466e-17 0.04270322029786 -1 0 0.0393694176502341 0.0478363474833929
"25" -1.69802869195876e-17 0.0427798987703487 -1 -0.1353551515884 0.0598490282347861 0.0745842080254849
"16" -3.53125223985365e-17 0.0428300488132484 -1 -0.259867819001488 0.0786681013046697 0.100254266962776
"15" -3.75263608208914e-17 0.0534802191772434 -1 -0.907419595214586 0.0816113031090198 0.104311727336552
"29" -1.17543953730459e-17 0.058013579664849 -1 0.00271630013405015 0.0540099643958494 0.0667699119158417
"1" -4.66292487724412e-17 0.0609935275881567 -1 -0.544052898865891 0.139362462859983 0.184872387774812
"18" -3.18710380219372e-17 0.0630961690662315 -1 -0.0751984069902398 0.0707514517781946 0.0893883361792734
"48" 3.89697033088819e-17 0.0668037757349027 1 0.420764887483467 -0.131704079246921 0.201183173888742
"57" 4.41202658394385e-17 0.104757660312221 1 1.03711087493691 -0.0559715590008691 0.095546476535344
"27" -1.49459514058336e-17 0.119585969342486 -1 -0.037554155616436 -0.114499027383603 0.177029930451072
"49" 3.90502203167851e-17 0.127495502144393 1 0.530822787651115 -0.207954565885049 0.308564663352179
"45" 3.14029256146392e-17 0.128883735429303 1 0.664892134898399 0.0238547238236107 0.0304064251320933
"20" -2.74623604044126e-17 0.134491168580925 -1 -0.313719440609986 -0.0875199864336763 0.139280592963141
"42" 2.28889668637465e-17 0.142659631586493 -1 0.49849982770558 -0.21798828625978 0.322717371203355
"55" 4.23166852816833e-17 0.148056738272157 1 0.842551949823959 -0.275158070530248 0.403405939995807
"12" -4.07233420457281e-17 0.165876662655525 -1 -0.659383881486622 0.25984781116639 0.354586321810763
"56" 4.36325766072362e-17 0.172373121084049 1 0.859099949844614 -0.301555514396089 0.440682898381038
"50" 3.96347957373317e-17 0.175322774326185 1 0.54352596060666 0.0877995556012029 0.112867682742178
"52" 3.98983632373131e-17 0.189748781914047 1 0.583338409737605 -0.277065789534852 0.406099574841944
"10" -4.27925718394835e-17 0.203762296787515 -1 -0.00361666596757012 0.198234999818202 0.267691787884316
"36" 4.47709249411892e-18 0.214427113411211 -1 0.0429631470012908 0.201696752569438 0.272569961090919
"31" -4.06570679375062e-18 0.218855573197917 -1 -0.0123762885329218 0.214392103394927 0.290464812400343
"21" -2.73088578009009e-17 0.223419265022695 -1 -0.103159249076792 0.232563353291803 0.316089929138424
"6" -4.5552457960574e-17 0.227890571605215 -1 -0.610939483853613 -0.134526493910813 0.205149434561815
"46" 3.36554041204958e-17 0.234306464428911 1 0.19761467305512 0.197924984176046 0.267254956569331
"3" -4.64671252439024e-17 0.256667896497286 -1 -0.263022995759729 0.289345422607041 0.396224936047968
"35" 3.98021345845431e-18 0.25713849151916 -1 0.0842390764475648 -0.268072401433181 0.393401728783595
"17" -3.45265256570903e-17 0.267835233285727 -1 -0.357648982331456 -0.211974433833807 0.314234343360246
"30" -7.04896887420197e-18 0.272794499567301 -1 -0.0125034901405452 0.267433012848084 0.365291852588964
"22" -2.54977697795198e-17 0.303043180413455 -1 -0.38721512416679 -0.242126720481467 0.356777061187386
"14" -3.98299678131421e-17 0.308663236761764 -1 -0.554641172457701 -0.222412419283468 0.328958690739631
"34" 5.35073543160847e-19 0.309681318918907 -1 0.0345239484078756 0.296603404599972 0.40647268104986
"13" -4.01731980264009e-17 0.310182473073863 -1 -0.269258155481905 0.342889947751229 0.471842895644715
"26" -1.63723026721792e-17 0.321588013800462 -1 -0.259840958689995 -0.279557347455759 0.409617655510598
"47" 3.85180094540838e-17 0.357037235300479 1 0.67446094955751 0.246686180396121 0.336013646893511
"44" 3.09377059375059e-17 0.37639873161387 1 0.205974596227058 0.336340851905192 0.462592119776789
