"Vel" "DistA" "Flag" "Vx" "Vy" "dist"
"8" -2.42967926092008e-17 0.0122824636902856 -1 -0.0864669272775043 0.227693323882981 0.28689799568219
"11" -2.17775787798533e-17 0.0185211290087459 -1 -0.0402928384945717 0.170621025549757 0.206186799584749
"3" -2.76359364008415e-17 0.0254263907124033 -1 -0.13039986294355 0.351671016459951 0.462227745611588
"18" 3.08063931862364e-18 0.0258498496094714 1 0.085524015701674 -0.0645362208524286 0.126387199901829
"15" -1.29049029068945e-17 0.0386638826963805 -1 -0.0737552124437083 0.17573693911865 0.213421646657532
"10" -2.2011238790033e-17 0.0414270561808446 -1 -0.109964830268004 0.242734375558021 0.30816903943706
"12" -2.14977028739275e-17 0.0417084802918285 -1 -0.0102402698114225 0.0500129187196806 0.0356419762096697
"17" 2.56915292096532e-18 0.0426823822277353 1 0.0870667567937961 -0.0500129198075837 0.10584952591648
"24" 1.32886267815148e-17 0.054948539155293 1 0.138422849954877 -0.136357138810541 0.227954158040904
"19" 3.97228628497118e-18 0.0614942448738479 1 0.127447131301417 -0.108373017431122 0.188379459620633
"2" -2.76806578170908e-17 0.0640147422639306 -1 -0.0129376656181994 0.165134461926062 0.198427796783494
"20" 1.01532695850853e-17 0.0854370183939012 1 0.143036095858265 -0.113561097493138 0.195716334541384
"26" 2.30916746513613e-17 0.0876202430533905 1 0.124485060436614 -0.0754951325748969 0.141884667283286
"28" 2.52634177304433e-17 0.150843756309592 1 0.154640620204446 -0.0679521923600613 0.131217852193244
"13" -1.82010972414042e-17 0.154875436709053 -1 -0.0106986187262312 -0.0667582709622899 0.129529481350252
"16" -7.48911099821305e-18 0.250286674310829 -1 0.0102402748021604 -0.206357673226226 0.326948673331433
"21" 1.14417539192165e-17 0.324420963887936 1 0.166788590879797 0.0890690302954982 0.0908603767016531
"5" -2.62481050860602e-17 0.359504756092988 -1 -0.337804091731336 0.351679869184666 0.462240265202455
"7" -2.52545791548782e-17 0.405579937069863 -1 -0.284699733361008 0.201306797041645 0.249582278390609
"30" 2.8550679600085e-17 0.554523054930209 1 0.184146186956624 0.294804632897014 0.38180694293396
"9" -2.28261104662164e-17 0.597752787458513 -1 -0.189652752019309 -0.181891412478646 0.292348479830715
"14" -1.6733950945406e-17 0.684496527091837 -1 -0.195730142094162 -0.260348810361315 0.403303153000472
"4" -2.72037637799956e-17 0.689700079439145 -1 -0.467989929085613 0.259594706648861 0.332012939575197
"25" 2.24574486636203e-17 0.834687992977969 1 0.407541110984626 0.155018411484288 0.184121891822895
"27" 2.36102571773969e-17 1.00313758178531 1 0.490040170739835 0.170958918658056 0.206664642555601
