"clusterID" "ra" "dec" "r" "zspec" "Vel" "Flag"
"7042" 19 194.48042 -1.708388 17.4504 0.077797 23322.948 0
"7057" 19 194.86115 -1.623502 16.5914 0.078555 23550.146 0
"7029" 19 194.76824 -1.786684 17.4384 0.079303 23774.39 0
"7082" 19 194.81175 -2.076965 17.9461 0.079624 23870.579 0
"7063" 19 194.65399 -1.99346 17.6058 0.080266 24063.007 0
"7061" 19 194.62578 -1.976526 15.8868 0.080331 24082.655 0
"7024" 19 194.75982 -1.702562 15.6468 0.080597 24162.451 0
"7031" 19 194.63431 -1.588337 17.0144 0.080678 24186.644 0
"7083" 19 194.61335 -1.33275 15.5947 0.08113 24322.168 0
"7019" 19 194.67526 -1.659901 16.4155 0.081242 24355.814 0
"7009" 19 194.66403 -1.715974 17.3491 0.081294 24371.397 0
"7036" 19 194.53755 -1.611963 16.6387 0.081396 24401.769 0
"7056" 19 194.44809 -1.834276 17.4477 0.081397 24402.252 0
"7108" 19 195.0703 -2.082417 16.6907 0.08145 24417.958 0
"7048" 19 194.68329 -1.521788 16.4182 0.081587 24459.086 0
"7062" 19 194.57806 -1.479071 17.2871 0.081594 24461.338 0
"7021" 19 194.73007 -1.764661 16.8417 0.081901 24553.191 0
"7032" 19 194.71111 -1.853063 17.0985 0.08193 24562.005 0
"7105" 19 194.15163 -1.852737 17.2457 0.081937 24564.173 0
"7018" 19 194.65369 -1.793019 15.7436 0.081964 24572.327 0
"7112" 19 194.6817 -2.285792 17.0077 0.082021 24589.313 0
"7051" 19 194.63058 -1.514389 16.2406 0.082035 24593.597 0
"7049" 19 194.82176 -1.600468 17.0244 0.08216 24630.942 0
"7014" 19 194.67236 -1.764239 16.3359 0.082173 24634.879 0
"7111" 19 194.23386 -1.368334 16.303 0.082194 24641.21 0
"7068" 19 194.52924 -1.465819 16.81 0.08237 24693.917 0
"7070" 19 194.94066 -1.652534 17.5995 0.082518 24738.34 0
"7045" 19 194.77238 -1.878593 17.4654 0.082616 24767.582 0
"7069" 19 194.42003 -1.553019 17.5823 0.082688 24789.17 0
"7127" 19 194.99348 -1.172038 17.4677 0.082718 24798.155 0
"7040" 19 194.48158 -1.737873 16.1932 0.08272 24798.868 0
"7099" 19 194.83121 -2.189404 19.0524 0.082732 24802.445 0
"7106" 19 195.17644 -1.717031 16.7654 0.082737 24803.95 0
"7092" 19 194.9147 -2.111065 15.9998 0.082748 24807.244 0
"7047" 19 194.85058 -1.685551 16.8359 0.082808 24825.352 0
"7067" 19 194.44943 -1.523438 17.4719 0.08281 24825.768 0
"7100" 19 194.2231 -1.976804 17.6201 0.082812 24826.296 0
"7088" 19 194.84628 -1.348351 17.0465 0.082854 24839.079 0
"7078" 19 194.4924 -1.421892 16.1056 0.082871 24844.092 0
"7025" 19 194.60658 -1.619338 17.4422 0.082959 24870.333 0
"7044" 19 194.81037 -1.615644 17.4079 0.083008 24885.313 0
"7033" 19 194.78446 -1.788045 16.9711 0.083056 24899.643 0
"7073" 19 194.75195 -2.038433 16.6477 0.083058 24900.234 0
"7104" 19 194.76512 -1.223569 16.8275 0.083068 24903.223 0
"7038" 19 194.80585 -1.791563 17.497 0.083089 24909.357 0
"7052" 19 194.85969 -1.782809 15.1481 0.083112 24916.258 0
"7028" 19 194.74657 -1.81419 16.7645 0.083169 24933.565 0
"7085" 19 194.78985 -1.331508 17.6177 0.083319 24978.546 0
"7130" 19 195.14738 -2.151919 16.0138 0.08336 24990.786 0
"7064" 19 194.54511 -1.980997 16.1402 0.083429 25011.46 0
"7140" 19 195.10746 -2.252514 17.624 0.083461 25021.122 0
"7096" 19 194.17759 -1.691927 16.7542 0.083466 25022.342 0
"7133" 19 195.21354 -2.081188 16.6079 0.083543 25045.696 0
"7094" 19 194.92388 -2.113655 16.806 0.083583 25057.667 0
"7091" 19 194.99808 -2.022908 16.928 0.083602 25063.387 0
"7080" 19 194.86349 -1.430692 16.8922 0.083724 25099.791 0
"7065" 19 194.93261 -1.776745 17.4865 0.083836 25133.308 0
"7101" 19 194.19156 -1.927184 16.2857 0.08385 25137.562 0
"7084" 19 194.86874 -1.371794 15.6968 0.083925 25160.013 0
"7087" 19 194.51753 -2.123296 17.3985 0.084032 25192.244 0
"7093" 19 194.41568 -1.318048 17.4081 0.084051 25197.874 0
"7010" 19 194.65313 -1.748087 16.8107 0.084121 25218.808 0
"7077" 19 194.84091 -2.01278 15.3066 0.084134 25222.685 0
"7122" 19 195.27265 -1.869333 17.5708 0.084289 25269.266 0
