"clusterID" "ra" "dec" "r" "zspec" "Vel" "Flag"
"3735" 10 239.51975 27.19711 17.2152 0.082857 24840.03 0
"3752" 10 239.55323 27.140888 16.3021 0.083722 25099.266 0
"3731" 10 239.64099 27.260197 17.6388 0.083915 25157.162 0
"3737" 10 239.63372 27.180828 16.0637 0.084077 25205.561 0
"3755" 10 239.47884 27.197542 17.1857 0.084097 25211.622 0
"3738" 10 239.58388 27.163406 16.9361 0.084374 25294.725 0
"3786" 10 239.58764 27.090688 16.3419 0.084502 25333.149 0
"3855" 10 239.59137 26.963348 17.6627 0.084645 25376.065 0
"3771" 10 239.62331 27.115325 16.7061 0.084841 25434.578 0
"3721" 10 239.5727 27.269323 17.0451 0.084852 25437.927 0
"3842" 10 239.707 27.444303 16.5202 0.08487 25443.476 0
"3904" 10 239.2798 26.989471 17.2249 0.085321 25578.544 0
"3868" 10 239.63213 26.942358 16.6123 0.085407 25604.315 0
"3906" 10 239.7411 26.894121 17.1319 0.08548 25626.244 0
"3895" 10 239.19531 27.154865 17.1129 0.085558 25649.556 0
"3740" 10 239.5053 27.250714 16.6907 0.085626 25670.011 0
"3930" 10 239.87104 26.918852 16.7135 0.085911 25755.551 0
"3982" 10 239.12076 27.488362 17.5829 0.085921 25758.414 0
"3810" 10 239.57681 27.057101 17.5752 0.086004 25783.351 0
"3809" 10 239.38675 27.25158 17.0221 0.086008 25784.622 0
"3991" 10 239.13296 27.529988 17.3743 0.086036 25792.851 0
"3729" 10 239.55317 27.283149 17.6112 0.086052 25797.744 0
"3993" 10 239.78202 26.762637 17.7573 0.086055 25798.568 0
"3846" 10 239.35678 27.09984 17.6541 0.086083 25807.169 0
"4046" 10 239.68926 26.647673 15.2858 0.086105 25813.579 0
"4014" 10 239.49164 26.698158 16.9299 0.086226 25849.824 0
"3996" 10 240.07991 26.97187 16.3619 0.086291 25869.529 0
"3947" 10 239.20408 27.490498 16.6673 0.08633 25881.056 0
"4072" 10 239.26408 26.661579 15.5583 0.086403 25903.076 0
"3779" 10 239.67841 27.126626 17.001 0.08642 25908.049 0
"3814" 10 239.46046 27.084345 19.7998 0.086431 25911.278 0
"4015" 10 239.53689 26.690693 16.0416 0.086466 25921.957 0
"4070" 10 239.74649 26.617556 17.787 0.086466 25921.99 0
"3985" 10 239.5451 26.748219 17.6529 0.086493 25929.835 0
"3840" 10 239.80179 27.099689 15.9426 0.086508 25934.593 0
"4025" 10 239.61382 26.675938 17.012 0.086564 25951.189 0
"3928" 10 239.83398 26.895839 16.4134 0.086583 25956.894 0
"3780" 10 239.42978 27.226964 17.08 0.086632 25971.65 0
"3907" 10 239.78811 26.914494 16.3593 0.086656 25978.776 0
"4003" 10 239.00851 27.11054 16.7716 0.086694 25990.057 0
"3856" 10 239.62011 27.503449 17.2339 0.086698 25991.293 0
"3919" 10 239.25709 26.980705 17.6094 0.086706 25993.718 0
"3935" 10 239.87882 26.91448 16.8571 0.086745 26005.545 0
"3796" 10 239.4182 27.265593 17.3839 0.086754 26008.201 0
"3803" 10 239.45702 27.358482 17.7099 0.086763 26010.776 0
"3736" 10 239.59295 27.165955 17.5909 0.086772 26013.669 0
"3734" 10 239.52677 27.27411 16.0705 0.086841 26034.139 0
"4055" 10 240.25264 27.104018 16.8349 0.086845 26035.596 0
