"Vel" "DistA" "Flag" "Vx" "Vy" "dist"
"16" 1.18304136125557e-17 0.0166189489794558 1 0.0255407678483935 0.00332887016389043 0.0268618592056424
"11" 2.80048093530935e-18 0.0355362727332959 1 0.00586369508597556 0.0713775000199219 0.0702183039839837
"8" -8.43804238712988e-18 0.0482217971874139 -1 -0.0392035580298757 0.0114868952697626 0.0157792378749762
"20" 2.34532558913096e-17 0.0517226644010377 1 0.0745473298427636 0.044314332215815 0.0322221007778155
"12" 4.59051646240188e-18 0.0518630322029992 1 -0.0134116475872077 -0.00899479897741735 0.044048380015949
"18" 1.9476898645544e-17 0.0612463798977638 1 0.159029184602439 -1.15422307983516e-07 0.0314782455166323
"23" 2.43667388075119e-17 0.0668770936155127 1 0.146696065109724 0.0139232366423046 0.0126283740641338
"6" -1.58920335344511e-17 0.0801513923705552 -1 -0.106933935172514 0.191411832690401 0.239808231880605
"7" -1.29108361129307e-17 0.0892146083414645 -1 -0.077692330434891 -0.00723876994587617 0.0415871386536412
"3" -2.22866771205536e-17 0.104792038996782 -1 -0.339857462558403 0.145117119241134 0.174363103767833
"9" -6.30702968250055e-18 0.105156179305971 -1 -0.0637687746967102 -0.0331335471445134 0.0780235836464962
"5" -1.80531025724317e-17 0.111335944818278 -1 -0.05966232219022 -0.0423399667101324 0.0910135579326438
"14" 8.49564392340922e-18 0.122392518252316 1 0.0113839189954446 -0.0998484781955154 0.172258401475322
"21" 2.37220718339437e-17 0.126107463739863 1 0.0264925858255208 -0.113525984526338 0.191591777241096
"13" 4.69936924983222e-18 0.149082093784504 1 0 0.195704280787155 0.245876994725678
"22" 2.42603077808823e-17 0.152008964605785 1 0.266786162117713 0.0269405597659038 0.00914135168639506
"1" -2.37680810450531e-17 0.155706966006943 -1 -0.162716598906512 -0.023057300466596 0.0638202642497425
"19" 2.34274130689153e-17 0.166521915398832 1 0.452610972283856 -0.0773648916627228 0.140483196282636
"10" 1.83403739536803e-18 0.202590801209 1 -0.00954201903811344 -0.171512242953243 0.273571267478287
"2" -2.27342740566849e-17 0.208220340629211 -1 -0.0771392176596519 0.308185365735006 0.404923269765902
"15" 8.7594407662137e-18 0.220969018650734 1 0.0169216398326969 -0.208072642468813 0.325266024567624
"17" 1.28310618351889e-17 0.230073116192487 1 0.0197643692046516 -0.219569638365518 0.341522850258974
"4" -1.9721951583271e-17 0.262968610933389 -1 -0.0756462198410679 0.365348628601442 0.485757643376219
