"clusterID" "ra" "dec" "r" "zspec" "Vel" "Flag"
"7337" 20 184.05626 3.049431 18.7566 0.067302 20176.665 0
"7174" 20 184.46155 3.577017 16.8232 0.068117 20420.921 0
"7158" 20 184.41842 3.601407 17.2784 0.069729 20904.222 0
"7191" 20 184.3198 3.572402 15.8382 0.070019 20991.276 0
"7228" 20 184.62238 3.774747 16.1848 0.070882 21249.883 0
"7199" 20 184.45289 3.514352 17.3902 0.071179 21339.005 0
"7192" 20 184.36326 3.537936 15.9434 0.071357 21392.248 0
"7212" 20 184.47638 3.845258 17.7254 0.071416 21409.999 0
"7229" 20 184.20825 3.76168 17.602 0.07234 21687.013 0
"7152" 20 184.38684 3.689112 16.8425 0.072471 21726.136 0
"7176" 20 184.48826 3.595637 17.1151 0.072554 21751.1 0
"7268" 20 184.41284 4.048118 16.4236 0.072575 21757.552 0
"7187" 20 184.30306 3.68791 16.9649 0.072692 21792.618 0
"7175" 20 184.3334 3.705602 17.438 0.072884 21850.071 0
"7210" 20 184.51444 3.817442 17.2323 0.072995 21883.401 0
"7189" 20 184.48674 3.550556 17.0564 0.073055 21901.293 0
"7247" 20 184.69057 3.600443 17.6298 0.073061 21903.191 0
"7211" 20 184.40948 3.844569 16.457 0.073123 21921.616 0
"7209" 20 184.39472 3.838686 16.1887 0.073131 21924.107 0
"7263" 20 184.32409 4.002079 16.4329 0.073467 22024.841 0
"7167" 20 184.37761 3.603446 17.2214 0.073551 22049.96 0
"7261" 20 184.07068 3.618388 15.9097 0.073681 22089.131 0
"7178" 20 184.32019 3.657654 17.7256 0.073917 22159.621 0
"7219" 20 184.33005 3.844807 17.2381 0.074009 22187.292 0
"7186" 20 184.39694 3.548666 15.7104 0.074296 22273.288 0
"7237" 20 184.39751 3.908455 17.127 0.074314 22278.639 0
"7172" 20 184.394 3.580738 17.0173 0.074315 22278.957 0
"7252" 20 184.33727 3.37016 16.7592 0.074385 22300.2 0
"7182" 20 184.40235 3.770758 17.5015 0.074423 22311.493 0
"7276" 20 184.06646 3.946042 17.4971 0.07451 22337.404 0
"7239" 20 184.65003 3.564252 16.9338 0.07454 22346.533 0
"7316" 20 184.17151 4.220922 15.6943 0.074585 22359.988 0
"7181" 20 184.34823 3.739284 17.4118 0.074713 22398.427 0
"7227" 20 184.35086 3.443421 16.1622 0.074731 22403.655 0
"7258" 20 184.47858 3.326156 16.965 0.074747 22408.596 0
"7153" 20 184.45998 3.683937 17.2126 0.074755 22410.952 0
"7148" 20 184.43821 3.694104 16.1365 0.074765 22413.869 0
"7180" 20 184.34058 3.59508 17.3913 0.074791 22421.766 0
"7231" 20 184.60621 3.802849 17.4567 0.074985 22480.027 0
"7171" 20 184.48477 3.613672 17.165 0.075013 22488.299 0
"7327" 20 185.07177 3.666001 17.4498 0.075256 22561.238 0
"7328" 20 184.86403 3.177186 17.595 0.075397 22603.515 0
"7235" 20 184.41438 3.421859 17.7766 0.075436 22615.252 0
"7341" 20 184.84366 3.076 16.4262 0.075447 22618.385 0
"7290" 20 184.91011 3.863078 17.4035 0.075507 22636.492 0
"7234" 20 184.58604 3.492142 17.5431 0.075519 22639.931 0
"7285" 20 183.9947 3.370659 16.5852 0.075521 22640.56 0
"7333" 20 184.88103 3.141474 16.1575 0.075592 22661.965 0
"7292" 20 184.14886 4.119015 16.7309 0.075598 22663.839 0
"7291" 20 184.14965 4.119441 17.2979 0.075673 22686.306 0
"7213" 20 184.56397 3.788392 16.0161 0.075913 22758.133 0
"7165" 20 184.48509 3.677354 16.6527 0.07593 22763.292 0
"7207" 20 184.55155 3.777107 16.4455 0.075933 22764.213 0
"7221" 20 184.63084 3.637455 17.2999 0.076033 22794.243 0
"7218" 20 184.24123 3.572803 17.0614 0.076081 22808.435 0
"7313" 20 184.88886 4.045369 16.8491 0.076094 22812.374 0
"7215" 20 184.31051 3.504097 15.4336 0.076136 22824.939 0
"7331" 20 184.45457 4.332521 17.5836 0.076175 22836.643 0
"7173" 20 184.47388 3.58698 17.1596 0.076181 22838.414 0
"7267" 20 184.61235 3.982835 17.0403 0.076202 22844.848 0
"7335" 20 184.70287 4.312504 16.4832 0.076244 22857.373 0
"7249" 20 184.3048 3.40063 16.1666 0.076247 22858.344 0
"7166" 20 184.39859 3.596302 17.5791 0.07626 22862.17 0
"7274" 20 184.26521 3.267005 15.1987 0.076263 22862.979 0
"7273" 20 184.12684 3.36673 17.6989 0.076284 22869.266 0
"7216" 20 184.57169 3.543112 17.8865 0.076298 22873.523 0
"7321" 20 184.00527 4.134536 17.3815 0.076301 22874.344 0
"7146" 20 184.44654 3.664272 17.4922 0.076337 22885.35 0
"7201" 20 184.27811 3.589944 17.0577 0.076394 22902.372 0
"7352" 20 184.94736 3.12569 15.8636 0.076437 22915.218 0
"7344" 20 184.72745 4.331412 17.7004 0.076438 22915.596 0
"7340" 20 184.95674 3.181163 17.4772 0.076441 22916.522 0
"7326" 20 183.81373 3.434964 16.8706 0.07647 22925.243 0
"7315" 20 183.91886 3.311429 17.2546 0.076485 22929.71 0
"7170" 20 184.49377 3.67906 17.3115 0.076509 22936.743 0
"7318" 20 183.89781 3.338411 16.7142 0.076523 22940.889 0
"7302" 20 183.96736 3.322052 17.7111 0.076542 22946.636 0
"7242" 20 184.67075 3.607224 17.356 0.076633 22973.98 0
"7295" 20 184.43252 4.204766 16.1638 0.076644 22977.395 0
"7339" 20 184.5556 2.957802 17.2788 0.07667 22985.127 0
"7214" 20 184.22698 3.663937 16.4748 0.076757 23011.068 0
"7338" 20 184.78021 3.045609 17.6581 0.076759 23011.85 0
"7143" 20 184.42136 3.655806 14.5717 0.076768 23014.476 0
"7205" 20 184.57513 3.731587 15.94 0.076777 23017.223 0
"7142" 20 184.41608 3.662805 17.1547 0.076803 23024.846 0
"7349" 20 184.86724 3.067568 16.6315 0.076823 23030.869 0
"7243" 20 184.67164 3.607089 20.8554 0.076857 23041.293 0
"7346" 20 184.83941 3.053658 17.2329 0.076859 23041.811 0
"7324" 20 185.00192 3.392365 16.0318 0.076869 23044.836 0
"7300" 20 183.92068 3.402715 16.1264 0.07687 23045.025 0
"7353" 20 185.17092 3.740454 17.3234 0.076884 23049.21 0
"7306" 20 184.15736 4.186907 16.9002 0.076909 23056.69 0
"7159" 20 184.47235 3.694549 15.5449 0.076919 23059.667 0
"7308" 20 183.98514 3.259636 17.094 0.076935 23064.632 0
"7245" 20 184.24611 3.448751 16.6507 0.077031 23093.181 0
"7351" 20 183.68672 3.504491 17.0843 0.077041 23096.32 0
"7320" 20 185.03544 3.541018 16.6741 0.077072 23105.727 0
"7317" 20 184.83148 3.210998 17.0881 0.077079 23107.823 0
"7305" 20 183.887 3.882193 16.0786 0.077088 23110.329 0
"7343" 20 183.8693 3.184011 15.478 0.077134 23124.117 0
"7332" 20 184.77374 3.07146 16.9225 0.077192 23141.621 0
"7288" 20 184.89718 3.879598 15.364 0.077195 23142.524 0
"7323" 20 183.98828 3.189333 15.8625 0.077216 23148.855 0
"7270" 20 184.61371 3.325665 15.3424 0.077235 23154.456 0
"7185" 20 184.52602 3.703205 16.1754 0.077249 23158.695 0
"7334" 20 185.10942 3.820215 17.0101 0.077252 23159.51 0
"7157" 20 184.38099 3.615654 15.0368 0.077254 23160.029 0
"7256" 20 184.69861 3.485752 16.0477 0.077263 23162.784 0
"7301" 20 184.98339 3.676004 17.4875 0.077299 23173.555 0
"7309" 20 184.70438 3.143372 16.8836 0.077383 23198.963 0
"7279" 20 184.14149 3.278187 17.6709 0.077386 23199.712 0
"7240" 20 184.17634 3.581188 17.0611 0.077428 23212.258 0
"7345" 20 184.07372 3.011872 17.4235 0.077467 23223.926 0
"7202" 20 184.27611 3.734217 17.2983 0.077467 23224.058 0
"7299" 20 184.65282 4.171965 16.6056 0.07752 23240.04 0
"7195" 20 184.2863 3.616949 16.7367 0.077548 23248.348 0
"7266" 20 184.53332 3.30776 16.2631 0.077582 23258.409 0
"7280" 20 184.72497 4.050049 16.9408 0.077615 23268.35 0
"7264" 20 184.09785 3.502 17.1246 0.077648 23278.249 0
"7355" 20 185.15766 3.848794 16.5303 0.07765 23278.959 0
"7322" 20 183.93833 3.249178 16.784 0.077667 23283.912 0
"7225" 20 184.64297 3.645041 16.427 0.07773 23302.922 0
"7246" 20 184.60231 3.453576 16.1597 0.077792 23321.596 0
"7144" 20 184.41157 3.663344 15.8237 0.077844 23337.107 0
"7342" 20 183.71793 3.46605 17.4474 0.077862 23342.344 0
"7298" 20 184.4023 3.103671 17.3124 0.077897 23352.942 0
"7251" 20 184.19055 3.468015 16.7445 0.077949 23368.468 0
"7204" 20 184.4047 3.827177 16.3796 0.077962 23372.489 0
"7168" 20 184.36113 3.617821 16.3518 0.077988 23380.094 0
"7206" 20 184.57915 3.598403 16.9532 0.078009 23386.516 0
"7330" 20 184.72087 3.064727 15.6002 0.078064 23403.124 0
"7277" 20 184.38336 4.126488 16.1897 0.078133 23423.666 0
"7232" 20 184.3517 3.886836 16.8006 0.078136 23424.452 0
"7163" 20 184.47122 3.702933 16.9113 0.078139 23425.522 0
"7348" 20 184.93584 4.199096 17.3018 0.078165 23433.412 0
"7150" 20 184.37986 3.664198 17.5239 0.078239 23455.498 0
"7250" 20 184.55635 3.918676 17.5762 0.078242 23456.218 0
"7230" 20 184.59349 3.817709 16.9279 0.078273 23465.694 0
"7223" 20 184.53239 3.843904 17.6447 0.078299 23473.441 0
"7272" 20 184.02151 3.771613 16.9849 0.078335 23484.383 0
"7271" 20 184.30644 3.281401 15.2164 0.078342 23486.458 0
"7347" 20 184.96033 4.170238 16.3399 0.078372 23495.23 0
"7198" 20 184.51769 3.554682 15.3445 0.078396 23502.5 0
"7160" 20 184.36261 3.694069 17.2052 0.078408 23506.136 0
"7329" 20 183.78242 3.482429 17.3275 0.078471 23524.954 0
"7236" 20 184.56933 3.857012 16.9051 0.078643 23576.47 0
"7354" 20 184.06787 4.334994 16.1966 0.078664 23582.946 0
"7179" 20 184.50072 3.725804 17.1854 0.078718 23599.012 0
"7311" 20 184.19053 4.215394 15.1936 0.078724 23600.81 0
"7312" 20 184.03877 3.1942 16.5438 0.078762 23612.209 0
"7208" 20 184.56843 3.754792 16.898 0.078774 23615.869 0
"7319" 20 184.87747 4.089928 18.3631 0.078775 23616.133 0
"7190" 20 184.29095 3.635404 16.0897 0.078824 23630.757 0
"7254" 20 184.55294 3.939693 17.1689 0.078827 23631.833 0
"7314" 20 184.27151 3.072609 17.368 0.07886 23641.729 0
"7281" 20 184.51747 4.157239 17.1386 0.078976 23676.394 0
"7145" 20 184.40573 3.652612 17.7134 0.078988 23680.115 0
"7188" 20 184.38609 3.536207 17.4292 0.079008 23686.11 0
"7286" 20 184.34788 4.178147 17.6187 0.079026 23691.456 0
"7296" 20 183.86602 3.668569 16.928 0.079072 23705.252 0
"7162" 20 184.4844 3.655924 17.7604 0.079108 23716.099 0
"7275" 20 184.4221 4.107543 16.8284 0.079114 23717.667 0
"7350" 20 184.45413 4.408175 16.917 0.079146 23727.416 0
"7287" 20 184.36931 4.18332 15.1739 0.079147 23727.806 0
"7297" 20 184.61133 4.181723 16.7688 0.079249 23758.351 0
"7220" 20 184.37979 3.455091 17.6343 0.079263 23762.447 0
"7293" 20 184.35517 4.196213 17.5553 0.079413 23807.442 0
"7310" 20 183.83124 3.580382 17.1199 0.079544 23846.73 0
"7196" 20 184.29144 3.595831 16.7214 0.079604 23864.706 0
"7304" 20 183.85182 3.581959 15.9269 0.079606 23865.353 0
"7336" 20 183.91553 3.161944 16.93 0.079687 23889.511 0
"7255" 20 184.10781 3.734261 17.6709 0.079697 23892.631 0
"7183" 20 184.5285 3.646099 17.5245 0.079757 23910.466 0
"7193" 20 184.28091 3.667175 17.0732 0.079775 23915.97 0
"7278" 20 184.45868 4.132517 17.0253 0.079783 23918.192 0
"7294" 20 184.62352 4.16507 16.106 0.079846 23937.085 0
"7184" 20 184.42496 3.775294 15.8378 0.079919 23959.164 0
"7284" 20 184.58722 4.141327 15.9735 0.079929 23961.964 0
"7260" 20 184.33165 4.0018 17.5655 0.080003 23984.239 0
"7177" 20 184.3234 3.687822 17.4375 0.08001 23986.44 0
"7241" 20 184.16719 3.708716 15.6638 0.080015 23988.025 0
"7151" 20 184.44051 3.696127 17.4543 0.080037 23994.408 0
"7257" 20 184.6656 3.890917 17.6144 0.080059 24001.078 0
"7203" 20 184.29726 3.556227 17.3823 0.080134 24023.428 0
"7307" 20 184.99938 3.541817 16.1797 0.080174 24035.698 0
"7200" 20 184.48589 3.525736 16.464 0.080237 24054.435 0
"7222" 20 184.6014 3.774566 17.6195 0.080454 24119.601 0
"7147" 20 184.44361 3.675006 17.0592 0.080571 24154.524 0
"7269" 20 184.07293 3.839941 16.0155 0.080579 24157.012 0
"7283" 20 184.09412 3.272525 16.3561 0.08067 24184.369 0
"7224" 20 184.2089 3.738195 16.7422 0.08093 24262.252 0
"7155" 20 184.47047 3.640561 17.3474 0.081153 24328.994 0
"7259" 20 184.64433 3.403487 17.7095 0.08168 24486.955 0
"7238" 20 184.44452 3.911284 17.1495 0.081831 24532.41 0
"7194" 20 184.28373 3.631232 17.5624 0.081954 24569.074 0
"7248" 20 184.16755 3.539498 16.2865 0.081967 24573.04 0
"7197" 20 184.30905 3.758314 17.6691 0.082102 24613.431 0
"7265" 20 184.47907 4.021528 15.5111 0.08215 24627.95 0
"7244" 20 184.64947 3.513521 16.1827 0.082163 24631.866 0
"7262" 20 184.45546 4.012534 16.8803 0.08219 24639.885 0
"7217" 20 184.45446 3.854675 17.6555 0.082286 24668.749 0
"7289" 20 184.30047 4.17399 17.6648 0.082302 24673.393 0
"7161" 20 184.40035 3.600497 16.6736 0.082329 24681.661 0
"7282" 20 184.41919 4.168913 17.3651 0.082348 24687.291 0
"7303" 20 184.36605 4.228122 16.3353 0.082397 24702.002 0
"7253" 20 184.59125 3.410432 17.4313 0.082448 24717.208 0
"7156" 20 184.36923 3.630662 17.5688 0.082516 24737.582 0
"7154" 20 184.46223 3.686414 17.4288 0.082807 24824.914 0
"7149" 20 184.38571 3.645693 16.1525 0.08281 24825.756 0
"7325" 20 183.78376 3.562972 17.5813 0.082864 24841.858 0
