"ID" "ra" "dec" "zspec" "Vel"
"3026" 63 -0.127615020202955 -0.0432830426751623 0.10660502947656 -995.582178443175
"3022" 63 -0.0164636125109459 0.00296279542155696 0.107080988406383 -867.06744863541
"3002" 63 -0.0163329329385008 -0.00592478511131698 0.10723592465327 -825.232767829085
"3001" 63 -0.0173524161738592 -0.0147990888009236 0.107372834944015 -788.265315554182
"3011" 63 -0.0270681274977589 0.0581910292312623 0.107518485752248 -748.937816702055
"2999" 63 -0.0539010725060051 0.061085676551803 0.107578595911839 -732.707338745777
"3029" 63 -0.00869334484444908 0.0358017608097131 0.107607339776973 -724.946143756435
"3030" 63 -0.0220723101345555 0.00434694932593987 0.108464277779083 -493.562406835721
"3005" 63 -0.0231214840016658 -0.036290975399529 0.108672431083972 -437.358469772814
"3020" 63 -0.00597087205892063 -0.00834983826124065 0.108869504180428 -384.146324445761
"3015" 63 -0.0258226106787256 0.0544089009811893 0.108874083303538 -382.909905224808
"3009" 63 -0.00472216962948791 -0.0238786820249661 0.109821920232656 -126.98234674263
"3016" 63 -0.00593913512789585 0.0632092702681593 0.110003790523675 -77.8751447429577
"3033" 63 -0.00066456041909804 0.0162766069289071 0.110063286755243 -61.8104348583691
"3024" 63 -0.00206462278490696 0.0042741149285587 0.110075174320714 -58.6006468519595
"3035" 63 -0.00483001849059995 -0.063643858924329 0.110131130217385 -43.4918706714462
"3007" 63 0.000767798767674774 0.0104126910982986 0.110437691641177 39.2834615674633
"3006" 63 0.00258947221621684 -0.0908822730977402 0.110449994916933 42.6054964330049
"3021" 63 0.00203279079429592 0.0340921455570598 0.110474378573715 49.1893818625292
"3034" 63 0.000923201424777906 -0.00778637700512552 0.110538322772769 66.4550973462172
"3008" 63 0.00219272722390495 -0.0452244128570259 0.110568079751897 74.4898454996193
"3032" 63 0.0174189345115261 0.0346202456407371 0.11073043695583 118.328275432196
"3019" 63 0.00760207214200615 0.00265820347165577 0.110737133277352 120.136364107688
"3014" 63 0.0171427628879052 -0.013361219478653 0.111167211938514 236.262860475468
"3010" 63 0.00704875478070425 0.0208483207922812 0.11151235162116 329.454794236889
"3027" 63 0.0453404961739418 0.0727966627579155 0.112148274453318 501.161733286625
"3003" 63 0.0140130787176207 0.00222735701490683 0.112365837806548 559.906498442866
"3031" 63 0.0376944113994619 0.00529280706319539 0.112735120215893 659.617263565632
"3023" 63 0.0423919536117611 -0.0381911292984591 0.113122351057806 764.174324907495
"3025" 63 0.0950462361252666 -0.103207859820679 0.113164172556618 775.466640868386
"3004" 63 0.0199320200609285 0.0141895707471057 0.113362836870839 829.108434445127
"3000" 63 0.0156812927121187 -0.0149860933523517 0.113726065351771 927.18456488513
"3012" 63 0.0684594906476863 0.0283829008765315 0.11383604802058 956.881230038165
"3018" 63 0.0591776784531817 -0.026554676373852 0.113927519458277 981.579636484958
"3028" 63 0.0505974779908907 -0.0345020636695712 0.113986808616502 997.58843403528
"3017" 63 0.057284575953897 -0.0754977505493295 0.114005990277126 1002.76771690601
"3013" 63 0.0725120550302604 0.0434460720502789 0.114077275097874 1022.01548998832
