"clusterID" "ra" "dec" "r" "zspec" "Vel" "Flag"
"6571" 17 239.64171 16.742536 18.6583 0.026112 7828.07 0
"6064" 17 240.34631 16.218117 15.0474 0.02839 8510.964 0
"6092" 17 240.41407 16.310536 15.4231 0.028794 8632.365 0
"6038" 17 240.90136 15.767463 17.6864 0.029284 8779.128 0
"6146" 17 240.38662 16.392785 15.5513 0.029288 8780.372 0
"5956" 17 240.46507 15.834972 16.3034 0.029911 8967.008 0
"6441" 17 241.14777 16.759877 17.467 0.030116 9028.481 0
"6312" 17 240.11111 16.626682 14.8471 0.030184 9048.942 0
"6148" 17 240.55425 16.426233 14.2262 0.030192 9051.28 0
"6152" 17 240.50732 16.435391 14.8892 0.030469 9134.406 0
"6211" 17 241.06754 15.425192 15.3484 0.030474 9136.01 0
"6194" 17 240.6917 15.282585 15.9217 0.030478 9137.105 0
"6183" 17 240.98546 16.347516 16.0389 0.030493 9141.679 0
"6528" 17 241.14841 16.903001 13.7139 0.030526 9151.605 0
"6604" 17 241.88693 16.213907 15.5331 0.030625 9181.213 0
"6570" 17 241.16765 16.985406 16.7414 0.03071 9206.758 0
"5991" 17 240.76299 15.986769 16.3752 0.030735 9214.001 0
"6072" 17 240.9604 15.748104 15.2996 0.030778 9226.919 0
"6014" 17 240.62016 15.625213 17.1097 0.030846 9247.407 0
"6361" 17 241.20787 16.584396 14.0399 0.0309 9263.692 0
"6581" 17 241.87017 15.968698 16.823 0.030968 9284.078 0
"6275" 17 241.28167 16.306662 16.4517 0.031003 9294.502 0
"6702" 17 242.15544 15.876923 17.496 0.031013 9297.362 0
"6133" 17 241.08358 15.777711 16.2563 0.031104 9324.847 0
"6660" 17 241.02991 17.236297 16.7606 0.031146 9337.237 0
"5934" 17 240.5392 15.852771 16.8575 0.031153 9339.545 0
"5960" 17 240.68892 15.833205 16.4888 0.03135 9398.557 0
"6272" 17 241.2449 16.338587 17.4636 0.031401 9413.813 0
"6039" 17 240.36706 15.613471 17.0727 0.031462 9432.094 0
"6188" 17 240.15176 16.352786 17.4642 0.031542 9456.162 0
"6326" 17 240.37528 16.755649 14.767 0.031566 9463.321 0
"6288" 17 240.33842 16.676606 13.8764 0.031567 9463.641 0
"6410" 17 241.16462 16.690306 15.9686 0.031575 9465.827 0
"6156" 17 240.9354 16.321891 16.152 0.031601 9473.741 0
"6265" 17 240.79195 16.632074 17.6607 0.031652 9489.094 0
"6322" 17 241.11033 16.595069 16.4833 0.031662 9492.023 0
"6206" 17 241.05753 16.358597 17.0577 0.03169 9500.327 0
"6315" 17 240.50716 16.757692 16.2002 0.031781 9527.623 0
"5976" 17 240.74494 15.84282 13.8371 0.031834 9543.716 0
"6067" 17 240.93459 16.074764 16.0626 0.03185 9548.36 0
"6110" 17 240.52164 16.365993 17.6286 0.031957 9580.573 0
"6168" 17 240.97427 16.312866 16.9982 0.031992 9591.089 0
"6296" 17 240.71667 16.710381 17.053 0.032005 9594.813 0
"6083" 17 240.9916 16.000578 14.1617 0.032009 9596.123 0
"5998" 17 240.508 15.677708 15.3288 0.032056 9610.276 0
"6390" 17 241.13467 16.675238 15.5525 0.032097 9622.43 0
"6022" 17 240.5881 16.188275 16.1731 0.032099 9623.068 0
"6139" 17 240.93774 16.273864 15.6462 0.032111 9626.654 0
"6469" 17 240.22454 16.897395 15.6195 0.032232 9662.905 0
"5981" 17 240.53869 15.711247 15.5801 0.032309 9685.851 0
"6100" 17 240.97903 16.123647 16.3368 0.032339 9694.937 0
"5948" 17 240.61234 15.985739 17.4557 0.032349 9698.118 0
"5927" 17 240.54234 15.871927 16.4174 0.032362 9701.77 0
"6043" 17 240.92919 15.94841 16.7208 0.032463 9732.163 0
"6430" 17 240.73964 16.898201 15.6936 0.032562 9761.962 0
"6143" 17 240.92061 16.29846 17.2907 0.032569 9764.081 0
"6313" 17 240.15846 16.652799 17.3418 0.032621 9779.416 0
"6174" 17 241.12514 15.661241 16.6508 0.032662 9791.926 0
"6182" 17 240.06383 16.243472 16.6772 0.0327 9803.093 0
