"ID" "ra" "dec" "zspec" "Vel"
"3137" 65 -0.0711311585091051 0.00593794229949377 0.0849339864236648 -1049.5028276983
"3132" 65 -0.078423974671008 -0.00390531563920855 0.0849636227520959 -1041.34229003853
"3147" 65 -0.11390617251126 -0.124595786429992 0.0851074896486878 -1001.72769235451
"3146" 65 -0.0321236627931083 -0.0589846921662049 0.0853485975237015 -935.337218288668
"3134" 65 -0.0431336238229351 -0.0165688692753799 0.0854431231888237 -909.309019423347
"3143" 65 -0.026045482151291 0.0180235842248624 0.0855776056948762 -872.27846897002
"3126" 65 -0.0817028166316743 0.0247122125610195 0.0856213959291615 -860.220569934204
"3136" 65 -0.117283117992132 0.0679177988966915 0.085668046725294 -847.374998338453
"3149" 65 -0.115334088239825 -0.0440599244128252 0.0856856897315942 -842.516892595749
"3154" 65 -0.109879160200658 -0.0055450231798962 0.0857891721700952 -814.022393404529
"3130" 65 -0.0111290306035597 -0.00485235200994967 0.0860170530248124 -751.274057314948
"3162" 65 -0.0457492273813859 -0.0710540621953587 0.0863323540380935 -664.454065458683
"3155" 65 -0.00815428644017769 -0.00380945404477518 0.0869793767761486 -486.292542080737
"3157" 65 -0.0161298742557287 0.17107539776138 0.0871345946202603 -443.552394113902
"3160" 65 -0.0342318520064917 -0.0675836497443854 0.0875481969831373 -329.66454642498
"3153" 65 -0.00695784474931747 0.135721700802315 0.0875965344708833 -316.354534354951
"3133" 65 -0.0237985896591636 0.10089054976456 0.087948788812521 -219.359225795458
"3159" 65 -0.00178468912876072 -0.00605817867289814 0.0880022992547128 -204.624810238165
"3158" 65 -0.0112049630290295 0.117687961385173 0.0881381123958153 -167.227861583324
"3142" 65 -0.00736381612537414 0.0340325339149984 0.0881799473006217 -155.708374040908
"3141" 65 -0.000559383240371133 -0.00105406041960654 0.0885087358773199 -65.1745021249277
"3156" 65 -0.00113549106377475 0.0164760706052309 0.0885823422090214 -44.9065649800465
"3145" 65 0.0174850450163534 -0.0465820488049665 0.0896157280810121 239.642323895995
"3144" 65 0.0321322184662493 0.0940468465713465 0.0896736659549512 255.595858872677
"3135" 65 0.00250207085112117 0.0055701451286158 0.090113910483569 376.819783882054
"3140" 65 0.0468173512079088 -0.0364638774332784 0.0903089091593932 430.513818261672
"3138" 65 0.0651626314525251 0.0221350306714637 0.0903328837202932 437.115354870876
"3139" 65 0.0320150504481483 -0.00899326526428349 0.0905786875680331 504.798892696965
"3127" 65 0.0958862687987677 -0.0277385063690273 0.0909781011743741 614.779782669249
"3131" 65 0.10707508026875 -0.0550717950080034 0.0910463992064186 633.586048225455
"3161" 65 0.0620570387132796 -0.0421733301840471 0.091320478967047 709.055525275654
"3151" 65 0.0229163293762982 0.0169908934640047 0.0914800984945322 753.00770269544
"3152" 65 0.147408599305831 -0.0602926289202169 0.0916626384657366 803.271159347525
"3150" 65 0.110148845172559 0.0986035547406831 0.0917171951655417 818.29366810349
"3148" 65 0.0652849289462976 -0.118313930663474 0.0921209045448363 929.457424470531
"3128" 65 0.122989989433892 0.00636645920495881 0.0922704550098997 970.637026222498
"3129" 65 0.136155501089592 0.0124263556545576 0.09229691956944 977.92419862915
