"ID" "ra" "dec" "zspec" "Vel"
"10994" 149 -0.14284284510702 -0.0259315370019494 0.0503090649271105 -1617.14776562272
"10961" 149 -0.522518307447698 -0.0624032195263087 0.0504450126257519 -1578.55317472266
"11009" 149 -0.444162754921454 -0.149080445877607 0.0504464430112211 -1578.14709839651
"10992" 149 -0.181129128325343 -0.109190517601173 0.0505790456534003 -1540.50214538652
"10969" 149 -0.472971749368073 -0.0276082477051412 0.0506022049113976 -1533.92739570788
"11008" 149 -0.160226050124837 -0.179408846329512 0.0506736907829667 -1513.63306196105
"10962" 149 -0.120998534809158 -0.0147681881437011 0.0509231914710716 -1442.80157983281
"10991" 149 -0.0515280446457726 -0.0521123589113844 0.0509499691882474 -1435.19957516509
"10993" 149 -0.406266960853166 0.121434809606909 0.050964140863602 -1431.17633668334
"11003" 149 -0.300947131872774 -0.267975770296198 0.0510031643707732 -1420.09783877708
"11007" 149 -0.192164835736722 0.0393429564989476 0.051033891658002 -1411.37457908298
"10953" 149 -0.065607697805916 -0.339021833761268 0.0510751872950412 -1399.6510395644
"10945" 149 -0.0936836180634861 -0.0485221503984256 0.051090244434121 -1395.37642418863
"11005" 149 -0.167514553589996 -0.3170706655979 0.0516181482925374 -1245.50824948796
"10972" 149 -0.0842513609327271 0.0281826906027198 0.0523190139707748 -1046.53743646364
"11004" 149 -0.105159989937653 -0.17468763740591 0.0528158557751788 -905.487559381119
"10999" 149 -0.0190476423553096 0.0278070841570598 0.0529042621352502 -880.389618525793
"10965" 149 -0.0474862642717216 -0.0143520509436189 0.0529432781032652 -869.313260932725
"10979" 149 -0.034632835257147 -0.144289146204279 0.0532726205737722 -775.815261023501
"10964" 149 -0.0738257046649693 0.282084203600511 0.0537638096961115 -636.370140431556
"10938" 149 -0.0678765957916281 -0.102014762983941 0.0538804037130064 -603.269923006609
"10946" 149 -0.0855020863656825 0.0978247942966275 0.0547712878433509 -350.354214292043
"11002" 149 -0.01342642479307 -0.0176151174232965 0.0550760628446153 -263.83074528216
"10968" 149 -0.0255273812635447 0.0591223341893981 0.0551858051598697 -232.675677531869
"10952" 149 -0.033465170977956 -0.35563215941374 0.0552486882866248 -214.823602242006
"10995" 149 -0.00958865251174114 -0.157794855465344 0.0555550814190073 -127.840757243051
"10943" 149 0.00441851556547823 0.274054011300542 0.0560940726600735 25.1750470372362
"10958" 149 0.00158835173565208 -0.0321406562793442 0.0561099477783634 29.6818809300595
"10956" 149 0.00950584882396003 -0.218522262657001 0.056196153736908 54.1551433421732
"10998" 149 0.0252645378209018 -0.159959131846187 0.0566434484605844 181.138954356034
"10997" 149 0.0108204262447423 0.0805821495196905 0.0568154486316798 229.96858740247
"11001" 149 0.0228795993496798 -0.374891765833892 0.0568915447593917 251.571740287505
"10985" 149 0.0173906484430784 0.0610932655215303 0.0570403738177868 293.823258188883
"10957" 149 0.00850059380751992 0.0109329511693189 0.0570761974559524 303.993335897974
"10971" 149 0.0184320981026086 -0.0553625993088636 0.0571653023429787 329.289583619303
"11000" 149 0.0301365472898951 0.0843435558149432 0.0574114542381903 399.170367111068
"10975" 149 0.115979691942621 -0.00411957499178535 0.0574481075154045 409.575973482982
"10949" 149 0.03499845819487 0.0454867375875949 0.057765750544143 499.752584554246
"11006" 149 0.122024254039121 -0.158709149520897 0.0582019548604825 623.5879073012
"10963" 149 0.17777460766153 -0.217992620500255 0.0585248748974125 715.262623705332
"10937" 149 0.0720553242719516 -0.0936559940127552 0.0587307889554459 773.720169583579
"10940" 149 0.0791389830839681 0.0302762827434509 0.0587319714680755 774.055876562297
"10947" 149 0.258865507651257 -0.159467106278055 0.058843781890391 805.798065291874
"10973" 149 0.0747572522010569 -0.0115600206892589 0.0589159698405326 826.291714183869
"10978" 149 0.0624838560574009 0.0357547491599639 0.0589853630049399 845.991943156656
"10989" 149 0.0491530529284277 -0.20487513672801 0.0590560608680842 866.062566880564
"10981" 149 0.161171999488619 -0.0186277739707014 0.0590958200253546 877.349910651119
"10948" 149 0.05398950242037 -0.132366906037106 0.0592404409718704 918.406775328766
"10955" 149 0.042090353463997 0.172372685869443 0.0592662684520005 925.739014414559
"10941" 149 0.0619823125612373 -0.259905881799318 0.0592781748610056 929.119159788353
"10976" 149 0.0804312883334165 -0.0950676122010359 0.0593136509313661 939.190565453829
"10974" 149 0.0095923937264009 -0.0266553604844603 0.0593394352938928 946.51056375671
"10951" 149 0.105593158304619 0.0254490244949557 0.0593519333822443 950.058682715528
"10960" 149 0.154953141935331 0.126446235214442 0.0596148853434171 1024.7088862074
"10966" 149 0.0278931680324128 0.00445941243699365 0.0596995764732284 1048.75209944748
"10988" 149 0.378976986609158 0.0855822284882695 0.060093317965504 1160.53252652804
