"Vel" "DistA" "Flag" "r" "Vx" "Vy" "dist"
"183" 3.556859106804e-16 0.00101049971811591 1 16.009 -0.126330523984713 -0.0678304517384924 0.0186912581761562
"41" 3.211130751936e-16 0.00327630842680588 -1 16.6293 0 -0.0121589142181885 0.119367394662424
"143" 3.401293564854e-16 0.00408704092485463 -1 15.441 -0.0552986844402151 -0.0337335276549843 0.0601016723842298
"23" 3.120967067088e-16 0.00642404328817877 -1 16.9614 0.0888926599734828 0.027151004966016 0.216563365333247
"4" 2.923143698406e-16 0.0093296160428881 -1 15.6091 0.351958981284754 0.117413629704472 0.494262817145325
"167" 3.474327782934e-16 0.013865845074058 1 14.5202 0.164370276853434 0.0654880865756916 0.301122945581822
"17" 3.064889582202e-16 0.0316384071868853 -1 16.3044 0.0396744196077072 -0.0323840503194579 0.151593315172329
"96" 3.315385348224e-16 0.0402731393789801 -1 13.1667 0.0590436469563633 0.0502511251937838 0.20126896151767
"144" 3.401335370916e-16 0.0407074018037535 -1 17.4263 -0.00359869510110324 0.025307939028678 0.135854590266099
"181" 3.54157461609e-16 0.043529466732428 1 16.4162 -0.0630305580162376 -0.0863858423401856 0.0533912559073182
"125" 3.362755829484e-16 0.0454434532903208 -1 14.3893 0.128144575082651 -0.010875127746297 0.242551801811607
"192" 3.592823338776e-16 0.0473397305652727 1 15.1325 0.0538244532574244 0.0554840633565681 0.199896342138732
"7" 2.966157599112e-16 0.0540046530040781 -1 16.7212 0.176991191505932 2.39120042032598e-05 0.292594315656593
"66" 3.263518608792e-16 0.054127449971331 -1 15.7972 0.0135950774573532 -0.0663434865334048 0.123160883459978
"198" 3.660417907626e-16 0.062209429171125 1 17.6629 0.210957793887912 0.134648329823001 0.374810320369811
"139" 3.395642940846e-16 0.0665452951040059 -1 14.6013 0.0985701238702121 0.0935961154335795 0.258488781667708
"115" 3.341505710946e-16 0.0711219406276286 -1 15.5724 0.10312864690139 -0.0477202640736604 0.212876173271657
"58" 3.2529653328e-16 0.0711929714661019 -1 15.4468 -0.145062192748116 -0.000337544824657017 0.0694366001347662
"20" 3.108378581256e-16 0.0720868689477369 -1 17.6576 -0.302315122679246 -0.0631572456740168 0.192944427812965
"211" 3.793983090468e-16 0.0730984112329194 1 13.199 -0.438797694869223 -0.269468992057675 0.390406168257462
"147" 3.411263824524e-16 0.0762893787904516 -1 14.5786 0.120804578286026 0.112742986450055 0.287756947513982
"65" 3.263064899592e-16 0.076336395960438 -1 16.2894 -0.0907395930349921 -0.1317358313004 0.0742046536685976
"209" 3.746828445156e-16 0.0793302054215946 1 15.5504 -0.00829054133859136 -0.101424888091048 0.109296640059115
"153" 3.435353838576e-16 0.0816943888807038 1 17.1308 0.0806627312379271 0.102090584079673 0.24973775136368
"210" 3.75833094561e-16 0.0990706001650827 1 15.7157 -0.350448002919644 -0.0546087868293213 0.241108469662273
"208" 3.73322948412e-16 0.101341393510313 1 16.0029 0.0468111830661187 0.108798913325537 0.229925541786822
"8" 2.988024438084e-16 0.102193525911171 -1 15.6402 0.129802594017221 0.143329238093129 0.31388725949102
"80" 3.2853893367e-16 0.10776422601334 -1 16.9662 -0.121601192023549 0.047204956458203 0.107813063171291
"13" 3.044688828228e-16 0.10885562978541 -1 15.1718 -0.141247537726498 -0.18602916339131 0.13007351082883
"102" 3.329409823674e-16 0.117101802856002 -1 16.8087 -0.236157748958461 -0.233080579876003 0.214602620268039
"201" 3.69953185368e-16 0.122351770651519 1 16.1896 0.0287511475894837 0.12332682964737 0.229483824894931
"173" 3.493181992818e-16 0.122635240289835 1 14.9636 -0.276889360748412 -0.000283011464003918 0.177790272531181
"55" 3.246116916504e-16 0.132774050621587 -1 15.0246 -0.00364932798619337 0.121030340398999 0.209580704681761
"1" 2.880614618388e-16 0.140352125266259 -1 15.7761 0.317840080041543 -0.0326722658488218 0.428105711872454
"169" 3.485027542182e-16 0.146096640184625 1 14.8179 0.0951746612339968 -0.12891324311268 0.215895045840967
"33" 3.178844805264e-16 0.146201985012719 -1 16.7364 -0.0560024638256541 0.113770847424666 0.181708376752434
"76" 3.282834953904e-16 0.147226563256848 -1 15.3442 0.0708841637010437 0.16627533284519 0.289246972846839
"22" 3.11707780701e-16 0.149274058128853 -1 16.5197 0.0150742245360497 0.145779607210281 0.240423978831565
"207" 3.72842988894e-16 0.1584499023255 1 15.2115 -0.472401215906567 -0.371851265493736 0.478618287205717
"212" 3.795847511202e-16 0.184008655163653 1 15.7929 0.0227767472638049 -0.197688741475852 0.190923239390249
"175" 3.517102838154e-16 0.186646332753594 1 15.4414 0.166967626813994 0.246220755442351 0.412428384915838
"199" 3.671059332834e-16 0.187693070139208 1 15.651 -0.0278965874042822 0.168312632918081 0.24234362538904
"157" 3.438377162238e-16 0.18851042722002 1 17.3351 -0.232239606457576 0.0863233263348539 0.19098637533125
"105" 3.333481539666e-16 0.206292774661149 -1 15.8198 0.0421934186996611 -0.212991290284212 0.21543494277018
"185" 3.562393062732e-16 0.206296206176072 1 17.3028 -0.190140211319505 0.121886117421839 0.198924734264155
"174" 3.498543215172e-16 0.218714010831611 1 15.6314 -0.246248270788338 0.112053938527921 0.219775826626037
"59" 3.257898124038e-16 0.241715079802923 -1 14.9289 0.1347686629401 0.290435186091676 0.42703951823881
"136" 3.388184285676e-16 0.251017819498671 -1 15.7359 -0.19046778259265 0.168260697479151 0.242149912345428
"5" 2.931191851458e-16 0.251752431554679 -1 16.3248 -0.0457796761384375 0.227680239375334 0.294547863870168
"196" 3.6211989603e-16 0.270093858720861 1 14.5025 -0.065045241417296 0.238943919116524 0.302132355111765
"69" 3.273311921874e-16 0.27226852181074 -1 14.5903 -0.228551992129585 -0.391359879580274 0.35221192029399
"18" 3.090538735512e-16 0.278302453200009 -1 15.628 -0.0128663791213546 -0.310197236203486 0.268252525314681
"202" 3.703672598286e-16 0.294027749277954 1 17.4378 -0.252167184102319 -0.423561408397751 0.390668136020472
"29" 3.15146248281e-16 0.294125539904529 -1 16.3327 -0.105823658971773 -0.364336411818673 0.304442151476677
