"Vel" "DistA" "Flag" "Vx" "Vy" "dist"
"7" -4.86794073412241e-17 0.00456263201813915 -1 -0.185757660603407 0.0886898514722779 0.0866516728789384
"47" 9.69257296614461e-18 0.00632796503420226 -1 0.0772857519152291 6.76486373669991e-09 0.0421351575898528
"59" 4.29584038303702e-17 0.00852473655104783 1 1.15566035327926 -0.316348705939207 0.487434739350461
"5" -4.95796197873527e-17 0.0161899257559499 -1 -0.191579783151184 0.103325105139724 0.107139867021479
"42" -6.785131389829e-19 0.0163360464065883 -1 0.0308351193502903 0.00238290637627935 0.0389626324335411
"48" 1.65929999389092e-17 0.0240084323766973 -1 0.0552592438634778 0.0401743222715886 0.0217758304839649
"52" 2.93040602652655e-17 0.033191288839183 1 0.0652565107395213 -0.0263957014718531 0.0783875884486931
"45" 7.93199891477448e-18 0.0338010062047758 -1 0.063445655203326 -0.0265471594395261 0.0785985126812722
"64" 4.73088601534426e-17 0.0391295931758612 1 1.00053553100056 -0.305254857344051 0.471752037445299
"41" -3.49677861465391e-18 0.0427294236391077 -1 -0.0404578262112139 -0.00623871978313868 0.0505623464987571
"31" -2.14471919936506e-17 0.0448323097480103 -1 -0.00144712699662002 -0.0199347244013126 0.0694085179850805
"29" -2.21721929668429e-17 0.0468356019618253 -1 -0.0447367456652567 -0.00956310469709171 0.0551034952912693
"26" -3.34387726057768e-17 0.0504875226693663 -1 -0.108490886855744 0.00493070212166761 0.0356107105493788
"28" -2.33962435224911e-17 0.0549413970230524 -1 -0.0582715182293566 0.107648535999434 0.113206889443715
"22" -3.85002326538996e-17 0.0591776846387194 -1 -0.0109405086460791 0.0985857010554199 0.100495692063107
"9" -4.77323477501949e-17 0.0677919893350394 -1 -0.602533024428862 0.280379455616533 0.356919424018333
"60" 4.38787225887376e-17 0.0720902212156992 1 0.466711187259565 -0.0260829375667341 0.0779520818800794
"72" 5.30941261957151e-17 0.0814526388945187 1 0.714976622199632 -0.269234632422802 0.420835700436654
"61" 4.5699230030714e-17 0.0913198977662194 1 0.291521600412119 -0.156952877482829 0.262179710897262
"32" -1.99733097171911e-17 0.103790166090657 -1 0.00126231762805597 -0.0863400383681452 0.162537087753308
"23" -3.55136912063595e-17 0.10498801586345 -1 -0.0375372658457524 0.157311946555948 0.18312447097842
"49" 2.53700826333211e-17 0.131605124601855 1 0.100491631298629 -0.146181089269082 0.246968075936206
"19" -4.15473308325719e-17 0.135368566440503 -1 -0.141507642158268 0.221388425273004 0.273573292110992
"1" -5.41072003025669e-17 0.142422488807658 -1 -0.484685868396979 0.0121190163817105 0.0265113230902814
"69" 5.15233364312682e-17 0.148332338078453 1 0.299665379408345 -0.222774937212604 0.355172809694824
"12" -4.65197620603084e-17 0.165006690368104 -1 -0.39514011091559 -0.0390817257231071 0.0961046120304128
"21" -4.0651868440944e-17 0.169994199719344 -1 -0.246579572682899 0.290510082243518 0.371236198358483
"30" -2.18795163930889e-17 0.177222199370283 -1 0.0164290750919738 0.221995288392558 0.27443045858101
"18" -4.17338759825998e-17 0.185028540658792 -1 -0.0315078730806993 -0.167214497534457 0.276673148817612
"43" 2.32839610851009e-18 0.185749339870461 -1 0.0714332213422066 0.215474348302051 0.265220289734095
"53" 3.0576752797295e-17 0.189230892458754 1 0.137222218107997 0.200198606118486 0.243648352464228
"15" -4.56977069706178e-17 0.194558496622751 -1 -0.144347457095685 -0.144974326617163 0.245264087484114
"67" 5.07330424942893e-17 0.20132542365751 1 0.656431435081947 0.0625226056331252 0.0504470568501145
"57" 4.03455835634474e-17 0.208503199773245 1 0.203455395896236 -0.261735819225138 0.410236511806105
"75" 5.4095368214776e-17 0.24594840759496 1 0.501042672876325 0.157417441106273 0.183273247334917
"39" -8.28560246410692e-18 0.25566550033746 -1 -0.0494889904755439 0.328486138946166 0.424910666492212
"13" -4.61320987011227e-17 0.263413679427639 -1 -0.662449678027426 -0.0707918241920048 0.1406385585039
"33" -1.70189014582441e-17 0.285019231241089 -1 -0.0357708885261488 0.357161913506378 0.465445193248734
"70" 5.19353118041332e-17 0.288990716534571 1 0.972932535234482 0.0679586758070085 0.0578849669307155
"16" -4.56449828799246e-17 0.292475363010507 -1 -0.32033454057289 -0.20272198992223 0.326836469975333
"8" -4.82095195729169e-17 0.294925354215913 -1 -0.340614988240531 -0.199545254627051 0.322347869508317
"66" 4.93052765251253e-17 0.346713015014544 1 0.478551149739257 0.276109568242572 0.350885393224653
"17" -4.56023443085382e-17 0.357361025237055 -1 -0.775933913425283 -0.142315585713978 0.241509989249211
"14" -4.60165248350313e-17 0.383450655213144 -1 -0.604443905860238 -0.221270797705032 0.35304721909169
"3" -5.08804295024356e-17 0.410311363737446 -1 -1.10996926827823 -0.104011913396011 0.187452215732657
"54" 3.20571573420661e-17 0.433369868316196 1 0.605141738231304 0.3357043153541 0.435113554992338
"2" -5.10484247097252e-17 0.462747901029019 -1 -0.584554733182233 -0.315313497862347 0.485971310991816
"63" 4.68864723661636e-17 0.462863705726636 1 0.701580486611073 0.340456884675999 0.441831439195819
"74" 5.35638673520594e-17 0.465642734278867 1 0.922561756557905 0.279224388527052 0.355287115195301
