"Vel" "DistA" "Flag" "Vx" "Vy" "dist"
"25" -2.18919820708191e-17 0.00194807309529258 -1 -0.192620017080794 0.0110171985067179 0.0447030797028876
"19" -3.184792838386e-17 0.00779337538158348 -1 -0.066426798812646 -0.0111295863415442 0.023114106190399
"54" 3.57460026157858e-17 0.0109542781433213 1 0.0798963664058876 -0.0590163307716205 0.0638425330660532
"16" -3.64373836639144e-17 0.0256852560754983 -1 -0.14914929882034 0.0222877488296829 0.0591330236953548
"27" -1.74876535132027e-17 0.0263447554383686 -1 -0.0406168931966624 -0.000559538925102523 0.031437312554019
"35" -2.63233697656352e-19 0.0362152018122588 -1 -0.00600928134433568 0.000559538848650102 0.0325965850486448
"10" -4.31078040645649e-17 0.0363469886880742 -1 -0.319702406616458 0.00512445542154971 0.0376462450196668
"58" 4.08900680890457e-17 0.0372354035342689 1 0.310863308629094 -0.0669332904405614 0.0744646410164079
"20" -3.11770682368773e-17 0.050727058028528 -1 -0.0988052215098512 -0.0550553844318397 0.058608446150835
"68" 5.04866340266039e-17 0.0560832252704856 1 0.948612364244837 -0.188160461361337 0.24362287572653
"26" -1.95104173569916e-17 0.0607898103385508 -1 -0.13571653420298 0.049930078016977 0.0965550334027449
"15" -3.71645485394339e-17 0.0788501870328365 -1 -0.736828076498879 0.0581613206325007 0.107927464235874
"32" -7.69264803506799e-18 0.0838872485689446 -1 -0.028325011475779 0.0468500789519468 0.0923168494678139
"34" -2.4340440001638e-18 0.0982106763744347 -1 -0.0179759368906907 0.0570782058436456 0.1064276988967
"70" 5.13966900147742e-17 0.101208841343021 1 0.372309638545758 -0.20064027147897 0.261206030505933
"6" -4.7255664026978e-17 0.102406139669331 -1 -0.995729504371645 0.0935379150408543 0.157252052079254
"3" -4.96208800716728e-17 0.103265977690735 -1 -0.533179835005412 -0.00702734925443152 0.0256400267644289
"28" -1.6005969402386e-17 0.108778823410011 -1 -0.0840175369599306 0.0805241644689821 0.139048749510762
"45" 1.33294199052901e-17 0.11161956655747 -1 0.0665984522431576 -0.143725838266868 0.181121892382957
"40" 5.48920478293663e-18 0.115010951635265 -1 0.00600928137688701 0.0665185492191742 0.119526821353759
"42" 5.63987170061594e-18 0.119079397542888 -1 0.0122542842436217 0.0687104541067703 0.122576003924383
"52" 3.50497385266139e-17 0.13049920962379 1 0.0557081711860454 0.0692684789751627 0.123352681476882
"60" 4.23784480053413e-17 0.13338504924099 1 0.176835839406752 -0.186450873477262 0.241214939677783
"17" -3.5484092480807e-17 0.137660944366238 -1 -0.166970641615049 -0.115978234831359 0.142244205445929
"29" -1.49908140967016e-17 0.173479887466839 -1 -0.295327267474755 -0.119441768231397 0.147086486692937
"2" -5.05200463970352e-17 0.177790274184615 -1 -0.417632564799895 0.212557768200741 0.324786359672777
"37" 2.88605962644081e-18 0.178607294518869 -1 0.0275616568977079 0.117196644255966 0.190444233860136
"65" 4.84767046574742e-17 0.189785233422211 1 0.174279227958409 -0.234967528330352 0.309609387698854
"51" 3.42329421903766e-17 0.193592757507921 1 0.275272568011391 0.0767785815119311 0.133819710193422
"47" 1.8574151931523e-17 0.194329535225893 -1 0.194988963742993 0.094744606172028 0.158942285272907
"63" 4.56317997863607e-17 0.196053438481242 1 0.725949702766842 -0.359470165627069 0.485404321144163
"22" -2.88040620749523e-17 0.196459355626112 -1 -0.469811396314133 -0.101780697828009 0.122441456436538
"8" -4.31674005246557e-17 0.199757791835208 -1 -0.243324899487207 -0.153525637616781 0.194887380626621
"67" 4.87205594940846e-17 0.21383042139227 1 0.53744705146982 0.0378087455821113 0.0799487144357234
"11" -4.26331838627866e-17 0.215695651042202 -1 -0.204119501650902 -0.175852071957333 0.226291299896656
"41" 5.62069444518751e-18 0.215913606599136 -1 0.0461963189339257 -0.230059298037191 0.30268570704144
"39" 4.35012470020628e-18 0.21708153448742 -1 0.00921069119831082 -0.223093982380459 0.292861677534306
"61" 4.41781698122519e-17 0.227288435869573 1 0.0632568813892528 -0.243637072880691 0.321840731595699
"7" -4.67074940860024e-17 0.265256429552863 -1 -1.22706939910623 0.00178020962242329 0.0339001662698639
"1" -5.07521775961336e-17 0.271241176152343 -1 -0.396876481950973 0.28938127675833 0.433247753023055
"31" -8.74049320275395e-18 0.29468676867319 -1 -0.0531460893444946 0.235602764490224 0.357310171092448
"55" 3.6775328234439e-17 0.322965549550575 1 0.168872500890273 0.212294283183233 0.324414576049934
"46" 1.40564017091026e-17 0.338041907888735 -1 0.151114804966376 -0.358952544382733 0.484673033168555
"24" -2.51273405372871e-17 0.355108160178233 -1 -0.220152478582851 -0.293681582295397 0.392481220651595
"49" 2.67402989612569e-17 0.365487559154568 1 0.451527488375193 0.188292261564667 0.290556185366473
"23" -2.61859505558516e-17 0.53016976673833 -1 -0.681627980238421 -0.346400419576509 0.46694027772707
"57" 3.92677466379809e-17 0.541646075543994 1 0.926278149465922 0.239100664168203 0.362247867428722
"69" 5.12856841115329e-17 0.597520767123847 1 0.771090187183205 0.321201070868896 0.478196146057783
"64" 4.62018721361809e-17 0.638669384611806 1 1.04847586396383 0.297141298768613 0.444208536411965
