"clusterID" "ra" "dec" "r" "zspec" "Vel" "Flag"
"5768" 16 329.32996 -8.012767 15.2678 0.054208 16251.009 0
"5747" 16 329.38035 -7.938891 17.389 0.054477 16331.926 0
"5729" 16 329.44277 -7.804232 17.7885 0.054505 16340.044 0
"5721" 16 329.33004 -7.778868 16.802 0.055085 16514.002 0
"5767" 16 329.18887 -7.684762 18.3215 0.055137 16529.51 0
"5789" 16 329.1265 -7.671979 16.7863 0.055161 16536.777 0
"5764" 16 329.21019 -7.686477 15.9217 0.055229 16557.379 0
"5803" 16 329.68869 -7.879157 17.6104 0.055264 16567.61 0
"5741" 16 329.32115 -7.920265 17.3647 0.055331 16587.873 0
"5755" 16 329.20631 -7.759046 16.5466 0.055363 16597.329 0
"5775" 16 329.1771 -7.662097 16.2666 0.05547 16629.611 0
"5830" 16 329.035 -8.157222 17.0009 0.055563 16657.509 0
"5738" 16 329.2551 -7.756427 16.8992 0.055767 16718.595 0
"5802" 16 329.46641 -7.495808 16.7737 0.055837 16739.38 0
"5795" 16 329.17073 -7.582452 16.2896 0.055972 16780.109 0
"5723" 16 329.35966 -7.860487 15.8087 0.056044 16801.521 0
"5724" 16 329.34159 -7.856909 16.4799 0.056046 16802.3 0
"5746" 16 329.25591 -7.879992 17.0844 0.05609 16815.263 0
"5780" 16 329.12065 -7.754497 15.4755 0.056179 16842.073 0
"5788" 16 329.20787 -7.584419 17.6144 0.056185 16843.767 0
"5794" 16 329.09168 -7.908054 17.0141 0.0562 16848.447 0
"5801" 16 329.17972 -7.549971 15.3724 0.056237 16859.407 0
"5797" 16 329.49444 -7.527123 17.6713 0.056244 16861.533 0
"5757" 16 329.34755 -7.970565 15.0288 0.056279 16872.113 0
"5813" 16 329.54776 -7.474318 16.1666 0.056299 16877.986 0
"5798" 16 329.07921 -7.921011 16.0487 0.056302 16878.936 0
"5719" 16 329.3412 -7.787648 17.0288 0.056318 16883.682 0
"5756" 16 329.43773 -7.950514 15.8657 0.056331 16887.606 0
"5804" 16 329.19076 -7.519614 17.3291 0.056353 16894.309 0
"5807" 16 329.25353 -7.474223 17.451 0.056365 16897.745 0
"5769" 16 329.38882 -7.590777 16.2239 0.056487 16934.482 0
"5791" 16 329.59658 -7.652189 16.5697 0.056564 16957.317 0
"5749" 16 329.25512 -7.904246 15.4819 0.056609 16970.948 0
"5818" 16 329.42988 -7.396526 15.1534 0.056621 16974.543 0
"5761" 16 329.54497 -7.802402 17.6657 0.056637 16979.477 0
"5841" 16 329.94701 -7.719211 17.7258 0.056683 16993.193 0
"5717" 16 329.38948 -7.794238 14.6715 0.056743 17011.028 0
"5820" 16 329.76127 -7.658346 16.0267 0.056767 17018.232 0
"5825" 16 329.00353 -8.072246 17.5449 0.056771 17019.641 0
"5760" 16 329.54184 -7.800401 15.7695 0.056833 17038.135 0
"5872" 16 330.09465 -7.497015 16.5667 0.056856 17044.958 0
"5765" 16 329.31845 -7.9923 17.1044 0.056955 17074.754 0
"5828" 16 329.68757 -7.449324 17.2298 0.057186 17144.051 0
"5770" 16 329.57731 -7.756976 17.4209 0.057218 17153.552 0
"5810" 16 329.63237 -8.03721 16.85 0.057255 17164.731 0
"5908" 16 328.46481 -7.490497 16.1432 0.057259 17165.78 0
"5823" 16 328.94394 -7.926337 17.8305 0.057278 17171.548 0
"5902" 16 329.88569 -7.062131 17.4872 0.05734 17190.103 0
"5853" 16 329.50368 -7.141118 17.1016 0.057341 17190.321 0
"5720" 16 329.40413 -7.82058 16.9015 0.05738 17202.202 0
"5762" 16 329.55285 -7.829631 17.3405 0.057399 17207.805 0
"5781" 16 329.60607 -7.733435 16.9643 0.057417 17213.043 0
"5846" 16 329.91869 -7.51717 16.8869 0.05752 17243.978 0
"5743" 16 329.34676 -7.930328 16.7436 0.057567 17258.263 0
"5890" 16 330.18857 -7.5541 15.3506 0.05758 17262.113 0
"5885" 16 328.5429 -7.617052 16.9568 0.057593 17265.893 0
"5790" 16 329.36939 -7.532068 15.8117 0.057596 17266.697 0
"5905" 16 329.78744 -6.980832 15.4935 0.0576 17268.115 0
"5865" 16 329.74143 -7.167032 17.1874 0.057606 17269.832 0
"5742" 16 329.49267 -7.80252 17.7477 0.057661 17286.255 0
"5799" 16 329.11317 -7.982723 16.5346 0.057664 17287.286 0
"5839" 16 329.16681 -7.268095 17.0387 0.057678 17291.546 0
"5806" 16 329.39054 -7.45815 14.9398 0.057729 17306.698 0
"5808" 16 329.52762 -8.111793 15.7666 0.057739 17309.681 0
"5745" 16 329.47467 -7.728472 17.7018 0.05774 17309.873 0
"5739" 16 329.32014 -7.914027 15.4387 0.057797 17326.955 0
"5843" 16 329.01703 -7.327251 15.9914 0.057806 17329.737 0
"5809" 16 329.03606 -7.66904 16.7548 0.057834 17338.152 0
"5812" 16 329.49941 -7.463733 15.1622 0.057866 17347.832 0
"5837" 16 329.85171 -7.578534 15.7694 0.057886 17353.906 0
"5754" 16 329.50237 -7.88996 16.1184 0.057889 17354.773 0
"5894" 16 329.84682 -7.072563 16.5984 0.057897 17357.231 0
"5728" 16 329.43018 -7.762538 15.3454 0.057917 17362.945 0
"5906" 16 329.82474 -6.996358 15.3275 0.05794 17370.044 0
"5714" 16 329.37261 -7.795741 14.479 0.057954 17374.115 0
