"Vel" "DistA" "Flag" "Vx" "Vy" "dist"
"20" 2.38878152703528e-17 0.0132994688922307 1 0.199530928143537 0.163105570792995 0.152262976700243
"12" -1.22669834564626e-18 0.0136698278736095 -1 -0.0202106285752576 -0.0574253075730605 0.161316195528934
"13" 8.63085134892245e-18 0.0222910242305198 1 -0.00666054009353205 -0.007037223029595 0.0907079301876255
"15" 1.56755451121113e-17 0.0277353382031464 1 0.00666054008425506 -0.0449026765969844 0.143708349365055
"19" 2.21139895403039e-17 0.0335479718959862 1 0.263645255585859 0.206611424974499 0.213537465160491
"8" -7.96690447291108e-18 0.0336985638849136 -1 -0.0721913614718133 -0.130006254400839 0.263639752934134
"24" 2.49195546595438e-17 0.0431008654936959 1 0.136949987591507 0.158144171344738 0.145288780488124
"9" -7.2398546886288e-18 0.053431899601609 -1 -0.0397531281130583 -0.00831303604569701 0.0924833866756524
"5" -1.04654142852383e-17 0.0550911930848753 -1 -0.0361634429488099 -0.115810466333826 0.243605466121731
"23" 2.48782081129926e-17 0.0629441169601686 1 0.0489234761925893 0.0902666453145038 0.0510512049788527
"7" -8.52079133760833e-18 0.0716007073444593 -1 -0.0593412716541664 -0.155932156855743 0.300242900640478
"18" 1.89179917038215e-17 0.0936213628326926 1 0.260781513411888 0.333924092497792 0.393299521870261
"14" 1.45172212267537e-17 0.117723762360246 1 0.160914548682852 0.0175191828683116 0.0568889871914857
"21" 2.39970052245515e-17 0.13386829093127 1 0.15551954139183 -0.00441285964750977 0.0870595193299127
"25" 2.6032259145181e-17 0.18215106651786 1 0.0739818477182162 -0.1355292696591 0.27143595596223
"6" -9.25709437158403e-18 0.199473162211748 -1 -0.0614947455632389 0.119405488127273 0.0910578158042824
"3" -1.99163365928497e-17 0.205463328105901 -1 -0.131273721370793 0.0556283190807323 0.0163152047154984
"1" -2.59846486540082e-17 0.211850122988553 -1 -0.192396517197055 0.000929512865965561 0.0796504993022503
"10" -3.97815805358549e-18 0.215017220606423 -1 -0.0402066204024378 -0.283575588524614 0.480591608230566
"2" -2.53110935630012e-17 0.236403271466384 -1 -0.219340019332589 -0.000929514527833949 0.0822256551901031
"17" 1.87032912047245e-17 0.238805315359431 1 0.359036580590493 0.0920612826046656 0.0534624412331056
"11" -1.60853616695691e-18 0.241097911763777 -1 -0.0263295622221951 0.197247081567234 0.200335492555489
"4" -1.4207346197987e-17 0.340850019872845 -1 -0.13644718101518 0.189038969561361 0.188768337879177
"26" 2.66204179467156e-17 0.377672227680312 1 0.201680651516867 -0.207744809615772 0.373430142868347
"22" 2.44722243928776e-17 0.540274920959033 1 0.462230558219621 -0.113163005539887 0.239869916814742
