"ID" "ra" "dec" "zspec" "Vel"
"5758" 100 -0.220823473392532 -0.103327113312551 0.0355864537179669 -1262.47930258725
"5737" 100 -0.282115840512236 -0.249004266033667 0.0357080489085521 -1227.42688293466
"5755" 100 -0.299589252363415 -0.0886683912303024 0.0358047381028153 -1199.55415049456
"5731" 100 -0.198625020766733 -0.452492679337018 0.0358455915468522 -1187.77726970065
"5743" 100 -0.11682016005495 0.020618952017636 0.0358841640987618 -1176.65790494538
"5721" 100 -0.0870164904947173 -0.000465220429613997 0.0359870733988084 -1146.99209370704
"5761" 100 -0.015166823854477 0.171763599505993 0.036007429654493 -1141.12396674102
"5759" 100 -0.0974467654537875 -0.017067428856054 0.0361072812070626 -1112.33961674505
"5751" 100 -0.0438906699289116 -0.0539070406057633 0.0361889940218597 -1088.78414665221
"5746" 100 -0.30471196089589 0.0770659507913048 0.036289467783201 -1059.82043164294
"5714" 100 -0.399612117463038 -0.139077425930729 0.0365088846017708 -996.568831260305
"5738" 100 -0.133841436799056 -0.0430055553224862 0.0365326922896769 -989.705754987095
"5760" 100 -0.029153842859464 0.135552898513028 0.0367501239173148 -927.026428436187
"5750" 100 -0.267223501462989 -0.0323001567762602 0.0370716223209859 -834.347623387403
"5744" 100 -0.156539142106036 0.382948733354805 0.0371138967125505 -822.161124015596
"5727" 100 -0.0206121818933569 0.0150472537641044 0.0371411112489388 -814.315950653562
"5713" 100 -0.04335527399975 -0.185788778222275 0.037348685634496 -754.478185387828
"5733" 100 -0.144802253467943 -0.309759857237316 0.0374710591138336 -719.20140732247
"5723" 100 -0.0937110522981518 0.298895008550085 0.0375943880827603 -683.649188905499
"5757" 100 -0.0155451783569899 0.0051646939405583 0.0376235336593484 -675.247351820761
"5717" 100 -0.0979684141150175 -0.0421283266656344 0.0378452309900586 -611.338344938904
"5722" 100 -0.0496418178640997 -0.210628428249167 0.0380542354469945 -551.08833094968
"5729" 100 -0.029147959079694 0.0434234262948693 0.0382037996224455 -507.973251992444
"5735" 100 -0.0190091306752024 -0.0437027897354789 0.0383021484939024 -479.622082031917
"5736" 100 -0.0522951256271485 0.306936035352281 0.0384521717090839 -436.374675034445
"5748" 100 -0.0258748361119816 -0.0543407669875815 0.0386186985711393 -388.369738127806
"5716" 100 -0.0401242486527231 0.170922141222068 0.0391236446717073 -242.808202890558
"5747" 100 -0.0030554140458752 -0.0593195192200932 0.0395950638121803 -106.911532433482
"5752" 100 -0.00286739211191431 -0.307069154872826 0.0399085949765615 -16.5294548598305
"5734" 100 0.0479768100939917 0.223538240480266 0.0404205270437243 131.045934968049
"5740" 100 0.0564250809088975 -0.0862348148283188 0.0406700172816012 202.966842984197
"5732" 100 0.0218668453870018 0.00806339238499588 0.0410578995775337 314.782227683224
"5745" 100 0.00472952891464701 0.000254365351790551 0.0410632092127126 316.312843816933
"5753" 100 0.099173583049823 -0.018416399155447 0.0412486453914142 369.768796501728
"5754" 100 0.193459160642031 -0.203783462137584 0.0416709308539171 491.50163127587
"5715" 100 0.123983477821677 -0.451864485533054 0.0421987316499848 643.651522301137
"5719" 100 0.155619753343858 -0.141818909958286 0.0422601370739913 661.352951780875
"5725" 100 0.0267027329959859 -0.0472156941294807 0.0425969331398484 758.441635806503
"5726" 100 0.12274360495134 -0.00557296274828389 0.0429034641636721 846.805772841007
"5728" 100 0.016872889595841 0.0421575979422785 0.0433965555550766 988.949934097739
"5718" 100 0.248513970592708 0.173190122843661 0.0435512995438583 1033.55820525871
"5724" 100 0.284078142243889 0.222783458460381 0.0435546095745488 1034.51239254413
"5720" 100 0.191893038248969 0.0977437320195712 0.0436655415820872 1066.49092115556
"5749" 100 0.247564831211739 -0.468783390784951 0.0437532836438075 1091.78445088976
"5741" 100 0.113657506850592 -0.114939001837256 0.0437810400651162 1099.78583419353
"5739" 100 0.177346028543814 0.450409970330572 0.0440785120544922 1185.53851039984
"5742" 100 0.175584602262338 -0.067000617655506 0.044160069315927 1209.04913890223
"5756" 100 0.242667580748035 -0.110351800004102 0.0442662422751613 1239.6557698465
"5730" 100 0.0777379167365861 0.242510701936907 0.0443277937955371 1257.39931473575
