"ID" "ra" "dec" "zspec" "Vel"
"958" 24 -0.0532294552266517 -0.0459426443617617 0.0749261107276426 -842.633605046713
"945" 24 -0.0753024097723399 -0.0511729403743724 0.0749850572317678 -826.23987573385
"936" 24 -0.130492030265465 0.0698003707566628 0.0751233796279556 -787.770759462034
"955" 24 -0.0506734656772409 0.0198066957292929 0.0751769079924405 -772.883879723394
"950" 24 -0.0452318675466054 0.0512635975994951 0.0753128866354797 -735.066589293716
"951" 24 -0.0518538697554114 0.0267525258607315 0.0756263969819429 -647.875604298526
"932" 24 -0.101237662876291 -0.0496984466012493 0.0757670662383619 -608.753798067605
"944" 24 -0.0474410480539651 -0.00512884657265593 0.0760086381883056 -541.569743377164
"942" 24 -0.0654808278427394 -0.0224478479966785 0.0760934694731456 -517.977146300066
"953" 24 -0.0697733857268424 -0.0329414908001729 0.0761856811154803 -492.331983344882
"947" 24 -0.0525650973142437 -0.0180263717854599 0.0762596735234654 -471.753807832756
"933" 24 -0.0295915539529369 -0.0336721285228524 0.0764999320810663 -404.935023294767
"934" 24 -0.00201382088328374 0.00182527934096153 0.0769505540110968 -279.611663529948
"949" 24 -0.0143386962798651 0.0496541180512781 0.077278924776991 -188.287817778316
"941" 24 -0.0112019502447712 -0.0260649391503507 0.0777204028691536 -65.5074689199338
"957" 24 -0.00316563506227005 -0.0236444738886034 0.0778961809522009 -16.6214771995434
"935" 24 0.00174680107496329 0.00074904054955853 0.0781147481530628 44.1646810430424
"938" 24 0.00639688562461561 0.00185153429481655 0.0786081627007555 181.389180679583
"937" 24 0.026197062495039 0.10054916182083 0.0787236770152091 213.515096050081
"952" 24 0.0114331536433098 0.00584324452985022 0.0788911965532101 260.104287408607
"948" 24 0.0415435179039882 -0.0385485386262301 0.0798962798962306 539.630011739104
"940" 24 0.0417228352971474 0.0121790650947327 0.079907786533253 542.830145410237
"946" 24 0.0146674034336376 -0.00463369034596942 0.0800686271877594 587.561859217744
"939" 24 0.0197406713038786 -8.15681638142909e-05 0.0802293720775207 632.266939701843
"943" 24 0.000977790270888075 -0.0182341975813836 0.0804888846497707 704.440496486758
"956" 24 0.0771908046156228 -0.118546389586568 0.0807860633079515 787.089443223769
"954" 24 0.021162241222899 -0.0498896152056193 0.0809473398099189 831.942371434132
