"clusterID" "ra" "dec" "r" "zspec" "Vel" "Flag"
"257" 2 14.028366 -1.249162 18.3745 0.036825 11039.755 0
"331" 2 14.23935 -0.959649 17.754 0.037518 11247.577 0
"261" 2 14.035699 -1.200207 17.7185 0.037789 11328.728 0
"259" 2 14.121691 -1.226708 16.4797 0.038153 11437.874 0
"256" 2 14.106606 -1.262474 13.449 0.038232 11461.629 0
"274" 2 13.96479 -1.234406 16.4578 0.038557 11559.23 0
"268" 2 14.135103 -1.187471 16.4701 0.03859 11569.087 0
"264" 2 14.087481 -1.176635 14.7642 0.03911 11725.003 0
"251" 2 14.07403 -1.260326 16.1536 0.039119 11727.578 0
"330" 2 14.307325 -1.012239 15.0529 0.039214 11755.951 0
"313" 2 13.872989 -1.132779 15.2608 0.039606 11873.436 0
"348" 2 13.6613 -1.16934 17.0673 0.040025 11999.103 0
"303" 2 14.16374 -1.077015 17.6973 0.040239 12063.316 0
"329" 2 14.306 -1.01116 18.4051 0.040251 12067.006 0
"368" 2 14.134472 -0.738457 18.0572 0.040324 12088.843 0
"296" 2 13.909338 -1.183404 17.0663 0.040397 12110.797 0
"271" 2 14.169446 -1.239239 18.5537 0.040402 12112.218 0
"267" 2 13.981962 -1.247204 14.3441 0.040693 12199.487 0
"450" 2 14.438985 -0.411996 14.8071 0.040775 12224.013 0
"294" 2 13.898217 -1.235513 17.0405 0.041063 12310.354 0
"440" 2 14.348398 -0.431909 16.8102 0.041091 12318.823 0
"431" 2 14.27194 -0.459711 16.6592 0.04112 12327.397 0
"354" 2 13.963266 -0.813844 16.6406 0.041125 12329.07 0
"327" 2 14.294507 -1.018788 15.2976 0.041224 12358.773 0
"364" 2 14.16395 -0.757773 17.8366 0.041225 12358.812 0
"480" 2 13.018812 -1.175056 18.4842 0.041262 12369.94 0
"472" 2 13.051 -1.111268 16.9529 0.041293 12379.285 0
"477" 2 14.632758 -0.381805 17.3205 0.041335 12392.011 0
"376" 2 13.521522 -1.163358 18.751 0.041355 12397.977 0
"478" 2 13.040041 -1.119057 16.0085 0.041368 12401.682 0
"465" 2 14.472655 -0.346208 16.2708 0.041626 12479.206 0
"484" 2 13.005461 -1.121686 17.7706 0.041637 12482.498 0
"448" 2 14.409473 -0.410418 17.2377 0.041688 12497.625 0
"311" 2 13.979074 -1.04964 17.7065 0.041726 12509.182 0
"407" 2 14.660046 -0.826628 19.35 0.041744 12514.674 0
"283" 2 13.936993 -1.215933 16.8683 0.041749 12515.915 0
"281" 2 14.044464 -1.116926 14.4921 0.04175 12516.2 0
"312" 2 13.845677 -1.211193 15.8292 0.041774 12523.491 0
"336" 2 14.197621 -0.920051 16.5158 0.041796 12530.066 0
"443" 2 14.528439 -0.510311 16.2769 0.041821 12537.683 0
"384" 2 14.473717 -0.814679 14.817 0.041878 12554.721 0
"359" 2 14.48339 -0.99891 17.7948 0.041953 12577.124 0
"288" 2 14.122202 -1.099096 17.4191 0.042121 12627.471 0
"420" 2 14.357337 -0.519979 14.9388 0.042129 12629.98 0
"270" 2 14.127965 -1.172888 15.2495 0.042158 12638.668 0
"392" 2 14.404922 -0.708563 16.512 0.042189 12647.998 0
"371" 2 13.706392 -0.86455 19.3427 0.042199 12650.888 0
"317" 2 13.929902 -1.033697 15.6056 0.042209 12653.994 0
"404" 2 14.521372 -0.689246 16.4559 0.042211 12654.473 0
"485" 2 14.581201 -0.304042 18.3125 0.042235 12661.675 0
"396" 2 14.307707 -0.647294 15.0333 0.042248 12665.728 0
"309" 2 13.94025 -1.08432 17.0384 0.042257 12668.291 0
"377" 2 13.609057 -0.92824 15.6151 0.04226 12669.124 0
"253" 2 14.084643 -1.24253 17.0023 0.042267 12671.427 0
"408" 2 13.606826 -0.677 18.5596 0.042323 12688.011 0
"375" 2 13.797272 -0.770031 16.9659 0.042542 12753.705 0
"334" 2 14.235485 -0.943651 15.8701 0.042545 12754.787 0
"435" 2 13.764476 -0.478419 18.2673 0.042669 12791.949 0
"467" 2 14.629123 -0.417378 16.173 0.042743 12814.011 0
"381" 2 13.51536 -1.091666 17.0518 0.042745 12814.611 0
"422" 2 14.34625 -0.505784 17.0123 0.042763 12820.076 0
"287" 2 13.940389 -1.163319 16.6817 0.042766 12821.068 0
"471" 2 14.451297 -0.29799 17.0345 0.042784 12826.213 0
