"Vel" "DistA" "Flag" "Vx" "Vy" "dist"
"50" 2.16640285633564e-17 0.00159595862009543 1 0.0889934728187078 0.143792615235387 0.272755991827441
"43" 1.02651535064013e-17 0.0151827810465224 1 0.00820724303763446 0.0091284609732628 0.0825282480701462
"12" -4.33574339431848e-17 0.0155003997344932 -1 -0.209537864663561 -0.287059927343649 0.336730814845317
"31" -1.0621539822813e-17 0.0381213787266371 1 -0.00820724309952399 -0.0382525830821696 0.0168050975042572
"28" -2.05053694731046e-17 0.0409323747594502 -1 -0.219524417926722 -0.276808210048413 0.32223610588924
"44" 1.11444366956718e-17 0.0423363431904455 1 0.115417656624355 0.143010191931962 0.271649859183178
"27" -2.53911185435721e-17 0.0428074136380701 -1 -0.0874882196480288 -0.161827922510076 0.159710049920426
"46" 1.58227174276287e-17 0.0444317912791649 1 0.19847492035742 0.265521989055048 0.444871129000186
"42" 8.80571077376221e-18 0.0835243038586462 1 0.00903760410452973 0.108305510974352 0.222590737848379
"20" -3.1724872234076e-17 0.0907515258586893 -1 -0.0698363095202922 -0.0028395657899993 0.0656827465844214
"39" 5.70246304810673e-18 0.115031546678286 1 0.0848235266444058 0.0249932223954689 0.104898196794812
"49" 2.03999698057453e-17 0.115924909378967 1 0.0706458737392213 0.00283956657748615 0.0736718014470601
"34" -5.50486257710957e-18 0.117525263557775 1 -0.0210828081425031 -0.136346628874454 0.123720611242186
"33" -6.06120618781887e-18 0.119338108710817 1 -0.0770373004587481 -0.222080257651631 0.244864118765569
"18" -3.28838228001872e-17 0.129877724076323 -1 -0.0824038969072962 0.0171270646104414 0.0938026463829059
"16" -3.45938256474379e-17 0.142437864826498 -1 -0.199559003944832 -0.146151039785748 0.137565345373797
"45" 1.57839936014023e-17 0.153422399601073 1 0.0967652587313145 0.00481733930644198 0.0764560990562745
"40" 7.46241150842447e-18 0.199876899028027 1 0.0598173744831662 -0.0966961266624627 0.0678171664437877
"54" 3.38175419563176e-17 0.226188066924196 1 0.16849955050615 0.0402291093338656 0.126403502278797
"24" -2.89038524773819e-17 0.247073957579231 -1 -0.0525602825465947 0.178169564244307 0.321358189097786
"29" -1.78297534118131e-17 0.289322312078917 -1 -0.223592125293019 -0.0364718834923452 0.0191145977454821
"37" 3.1581429044897e-18 0.291767925110708 1 0.0704129531090675 -0.171971095996979 0.174041493446436
"17" -3.38745975906129e-17 0.299572983513828 -1 -0.18297313990994 0.0346291062533069 0.118497400542046
"55" 3.41289718110867e-17 0.310009728917727 1 0.351694289092811 0.231868985291465 0.397285463991195
"32" -1.05079924431065e-17 0.3160386054325 1 -0.16946510287438 0.0712281936547569 0.170190812585548
"67" 4.93722143349863e-17 0.346895896968143 1 0.335487824020669 0.170962012591818 0.311167772287114
"59" 3.66771481744399e-17 0.351727716189338 1 0.122996180779806 -0.152581798631017 0.146648305131985
"64" 4.78608313037015e-17 0.357019380613813 1 0.392105405381581 0.245847778992753 0.417051419896506
"47" 1.67896282671413e-17 0.380102574132746 1 0.271272012378095 0.0416887750145242 0.128464536030503
"38" 3.44408335530641e-18 0.384465115341916 1 0.0462102680465239 -0.300245336489732 0.355373824008848
"7" -4.55213849448053e-17 0.384912054562391 -1 -0.371066046864184 -0.162852824791324 0.161158043453223
"58" 3.66400140877666e-17 0.387425811817574 1 0.0366645794268382 -0.317501862491774 0.379773624157711
"36" 1.04759268594282e-18 0.412372396947197 1 0.0262660535175077 -0.357850821445596 0.43682689452851
"61" 4.09413694798528e-17 0.531017078416159 1 0.514438461457645 0.256724106251143 0.43243069369674
"65" 4.80362538316555e-17 0.536840929111108 1 0.257733588104772 -0.134126386188101 0.120586087070873
"25" -2.88582722437472e-17 0.587717845851098 -1 -0.355247124216158 0.0620886634397408 0.157277888217207
"57" 3.4860154144745e-17 0.596946445660006 1 0.229453568075411 -0.236181295640593 0.264798151133957
"52" 3.0356499702595e-17 0.617960224960714 1 0.173341871219365 -0.341200796585108 0.413283530794235
"53" 3.17337355057325e-17 0.81080503089018 1 0.30780896664155 -0.330821707211374 0.398607554812943
"3" -4.9909429143319e-17 0.831893586239034 -1 -0.527449938931653 0.0460313599520675 0.134596811886184
"8" -4.55208321189203e-17 0.850300810188758 -1 -0.378601605905762 0.287575194778462 0.476055314967605
"14" -4.20977576114883e-17 0.978553793202162 -1 -0.671412377140009 -0.0244129893211374 0.0355095733704998
"4" -4.82834309159125e-17 1.15484990362442 -1 -0.763697325462005 0.0120649639692582 0.0866662532396489
"5" -4.75909172566723e-17 1.19886849264869 -1 -1.05671714397524 -0.383809296213648 0.473533194276584
"51" 2.92243341651923e-17 1.22870107971983 1 0.537268188908925 -0.40123166618431 0.498169481781589
"62" 4.21291017470185e-17 1.24201910126299 1 0.57092358138698 -0.363959969022931 0.445465401274487
