"Vel" "DistA" "Flag" "Vx" "Vy" "dist"
"8" -1.47963978976429e-17 0.00284743177466086 -1 -0.0390942317557465 0.0274710758720056 0.00874151703839033
"23" 2.28695424193727e-17 0.00447112297882727 1 0.0380048493970881 0.0375774005219646 0.0184768194349503
"28" 2.84439267447323e-17 0.0122745853186833 1 0.61331346642412 0.10956636261028 0.118527581681352
"1" -2.90853016298305e-17 0.0145642109487895 -1 -0.160769014598599 0.0228585429799456 0.00955301461452309
"17" 2.30662892007769e-18 0.0213349851440867 -1 0.00124386396594055 0.0467622678972399 0.0306036908371524
"10" -1.43341806620723e-17 0.0349569056455707 -1 -0.0280622660893514 -0.00128173756188662 0.0394608708142852
"14" -4.97284131013073e-18 0.0358260846686148 -1 -0.0108203966183676 2.08173426063515e-11 0.0376925785148191
"27" 2.69095126220333e-17 0.0364763528133723 1 0.172495377933544 0.0204480902791207 0.011527166039699
"19" 7.03170027350386e-18 0.0471514756910631 -1 0.00626565501813823 -0.00703770797599284 0.0474431358332666
"16" 1.74706250849747e-18 0.0539850722884826 -1 0 -0.0131797404428396 0.0560109340350169
"11" -1.37696432050659e-17 0.0554842046501387 -1 -0.0694711111633588 -0.0223148224067105 0.0688087851442479
"4" -2.50447563228184e-17 0.0608180458122694 -1 -0.20610633148954 0.054396537509672 0.0410865129447433
"12" -1.32003026662652e-17 0.0792032255622726 -1 -0.0589931455040659 0.0858174676775662 0.0850615760351784
"20" 7.13274419677091e-18 0.0840237880864199 -1 0.0197937967592954 0.0986549499929659 0.10314196245026
"5" -2.01889123367802e-17 0.13184817075967 -1 -0.0964595181187987 -0.0860298320829156 0.158617744054632
"6" -1.99752150773306e-17 0.136573792831196 -1 -0.033038539417998 -0.0825287496178663 0.153673773984083
"13" -1.20872954911949e-17 0.139399730342978 -1 -0.0675126766002788 -0.0887149126796492 0.162409718253269
"3" -2.62671623707809e-17 0.147321585550352 -1 -0.0750964209906506 -0.0958716987568046 0.172517946705301
"25" 2.41080251104603e-17 0.165149212503439 1 0.0103953566703266 -0.100248786800981 0.178700860960867
"26" 2.54394854854749e-17 0.174698642268246 1 0.210375144076848 -0.0849603843146102 0.157107500077013
"31" 3.007280820653e-17 0.179283930511321 1 0.239951783597119 -0.08521839250926 0.157471848136964
"21" 1.28643908687442e-17 0.26312284459526 -1 0.0680964742429399 -0.171435351479362 0.279301317863325
"7" -1.75904012597783e-17 0.278677233135272 -1 -0.348613737889144 -0.231440462764477 0.364131355988904
"22" 2.07920889813166e-17 0.286887739200553 1 0.101566822301394 -0.186475562390626 0.300562276807517
"24" 2.31229309677509e-17 0.287184532529184 1 0.0814599850848048 0.267005069996296 0.340981277962988
"2" -2.7400838111309e-17 0.28936657270059 -1 -0.636078241815347 0.186678349852209 0.227434819088015
"15" -1.96475002763078e-18 0.29100153468333 -1 -0.0308163864669812 0.257195393749589 0.327112773139792
"18" 6.38286628586054e-18 0.292484562722722 -1 0.126896287889162 0.27640917476011 0.354276731787995
"30" 2.94917348214827e-17 0.344326621162052 1 0.298673706017717 0.337213578160888 0.440247319842017
"29" 2.92903819836683e-17 0.381758495876204 1 0.191920030220971 -0.251464464359968 0.392442445165345
"9" -1.47812114237064e-17 0.444282061703282 -1 -0.0928224807159876 0.371800099653462 0.489151880964803
