"clusterID" "ra" "dec" "r" "zspec" "Vel" "Flag"
"3" 1 10.436633 -9.338195 16.9102 0.046343 13893.351 0
"27" 1 10.362862 -9.228478 16.1378 0.047306 14181.853 0
"1" 1 10.422109 -9.315883 16.2161 0.047547 14254.169 0
"18" 1 10.364186 -9.266249 17.7948 0.048104 14421.09 0
"7" 1 10.42694 -9.357226 18.0309 0.049117 14725.029 0
"24" 1 10.366068 -9.391587 17.3548 0.04931 14782.766 0
"31" 1 10.329168 -9.389885 17.32 0.049746 14913.374 0
"134" 1 10.783828 -9.578991 17.6778 0.050067 15009.604 0
"146" 1 10.901286 -9.429937 15.5384 0.050258 15066.999 0
"135" 1 10.672864 -8.946887 15.6675 0.050361 15097.746 0
"106" 1 10.644471 -9.07675 16.9436 0.050396 15108.248 0
"14" 1 10.49078 -9.315333 17.5678 0.050404 15110.7 0
"204" 1 10.792154 -9.861478 14.3355 0.050407 15111.596 0
"120" 1 10.309372 -8.931769 17.4741 0.0505 15139.39 0
"220" 1 10.62291 -10.018533 17.2844 0.050534 15149.709 0
"192" 1 10.877064 -9.733148 16.1768 0.050536 15150.414 0
"94" 1 10.378064 -9.037471 16.0926 0.050784 15224.735 0
"154" 1 10.682922 -9.739152 16.1156 0.050791 15226.711 0
"58" 1 10.47293 -9.495551 15.1519 0.050945 15273.077 0
"29" 1 10.331936 -9.245389 16.9423 0.051076 15312.346 0
"199" 1 10.756011 -9.858682 16.0886 0.051106 15321.196 0
"62" 1 10.582872 -9.424321 17.3554 0.051139 15331.018 0
"116" 1 10.576921 -9.653383 17.7142 0.051447 15423.432 0
"167" 1 10.731489 -9.748692 16.6177 0.051568 15459.808 0
"47" 1 10.441041 -9.16243 16.1463 0.051584 15464.602 0
"200" 1 10.454229 -9.951314 16.0304 0.051713 15503.203 0
"158" 1 10.076255 -8.941787 17.3147 0.051982 15583.731 0
"191" 1 10.577937 -9.903654 17.4482 0.05206 15607.156 0
"163" 1 10.502698 -9.834443 15.5173 0.052099 15619.028 0
"237" 1 10.547652 -10.193393 17.7988 0.052112 15622.707 0
"177" 1 10.170298 -8.81645 17.6698 0.052126 15627.042 0
"54" 1 10.513617 -9.471081 16.0053 0.052165 15638.71 0
"233" 1 9.704239 -9.789549 16.4028 0.052207 15651.298 0
"88" 1 10.590273 -9.116658 16.0881 0.052406 15710.828 0
"157" 1 10.469311 -8.812135 17.2259 0.05265 15784.004 0
"126" 1 10.767338 -9.545246 16.5137 0.052672 15790.707 0
"80" 1 10.520954 -9.534448 15.0055 0.052804 15830.184 0
"107" 1 10.57342 -9.027181 17.4628 0.05282 15834.912 0
"100" 1 10.525083 -9.601753 16.3037 0.052832 15838.497 0
"209" 1 9.948353 -9.803053 17.7211 0.052832 15838.647 0
"73" 1 10.571967 -9.47997 16.4648 0.052834 15839.265 0
"8" 1 10.450944 -9.28422 15.3892 0.052848 15843.582 0
"243" 1 9.459131 -9.090831 17.8275 0.052882 15853.628 0
"95" 1 10.488949 -9.589941 16.4609 0.053048 15903.318 0
"235" 1 9.878435 -9.983574 16.6182 0.053078 15912.366 0
"68" 1 10.303778 -9.150124 16.0426 0.053093 15916.842 0
"69" 1 10.519854 -9.132449 17.5299 0.053111 15922.148 0
"35" 1 10.441032 -9.443005 17.8416 0.05323 15958.03 0
"89" 1 10.369033 -9.574099 15.4514 0.053315 15983.558 0
"71" 1 10.428763 -9.104251 17.251 0.053388 16005.365 0
"205" 1 10.324568 -9.968727 17.4207 0.053453 16024.767 0
"30" 1 10.509081 -9.241041 17.5251 0.05347 16030.044 0
"190" 1 10.338779 -8.725085 17.4448 0.053508 16041.439 0
"79" 1 10.663325 -9.335324 17.2047 0.053603 16069.904 0
"125" 1 10.242185 -8.946523 17.1225 0.053634 16078.958 0
"98" 1 10.175907 -9.478113 15.9016 0.053639 16080.469 0
"168" 1 10.193639 -8.834721 15.0397 0.053768 16119.229 0
"180" 1 10.344103 -9.878192 17.6503 0.053779 16122.551 0
"59" 1 10.298589 -9.171442 16.2012 0.053796 16127.704 0
"155" 1 10.368276 -9.811286 16.9904 0.053805 16130.474 0
"37" 1 10.379701 -9.193145 17.553 0.053827 16136.968 0
"66" 1 10.257818 -9.209217 15.4212 0.053919 16164.525 0
"208" 1 10.548681 -9.970542 17.5739 0.053957 16175.782 0
"77" 1 10.210066 -9.223122 16.4718 0.053964 16177.874 0
"101" 1 10.466323 -9.616426 17.4562 0.054056 16205.491 0
"225" 1 9.892039 -8.733394 16.9045 0.054066 16208.603 0
"139" 1 10.356127 -9.771867 17.1783 0.054132 16228.386 0
"20" 1 10.340568 -9.328647 17.1153 0.054152 16234.331 0
"150" 1 10.798353 -9.637783 14.9068 0.054198 16248.074 0
"241" 1 9.643437 -8.766355 16.7372 0.054223 16255.569 0
"34" 1 10.42242 -9.439327 17.4082 0.054296 16277.462 0
"184" 1 10.549646 -9.881896 15.9451 0.054321 16285.149 0
"131" 1 10.181399 -8.957581 16.5047 0.054353 16294.727 0
"114" 1 10.772 -9.425802 16.044 0.054365 16298.259 0
"109" 1 10.686169 -9.554522 15.1743 0.054448 16323.1 0
"85" 1 10.642528 -9.181383 16.823 0.05447 16329.62 0
"124" 1 10.644894 -9.655047 14.6571 0.054493 16336.668 0
"12" 1 10.376944 -9.359103 16.6919 0.054505 16340.062 0
"2" 1 10.400877 -9.325098 16.3373 0.054516 16343.438 0
"238" 1 9.712994 -8.736266 17.7741 0.054552 16354.2 0
"174" 1 10.395394 -9.868067 17.2702 0.054557 16355.792 0
"176" 1 10.3478 -9.868484 17.3671 0.054574 16360.937 0
"43" 1 10.418121 -9.171693 16.504 0.054602 16369.388 0
